name,hp,attack,defense,special-attack,special-defense,speed
igglybuff,90,30,15,40,20,15
togepi,35,20,65,40,65,20
togetic,55,40,85,80,105,40
natu,40,50,45,70,45,70
xatu,65,75,70,95,70,95
mareep,55,40,40,65,45,35
flaaffy,70,55,55,80,60,45
ampharos,90,75,85,115,90,55
bellossom,75,80,95,90,100,50
marill,70,20,50,20,50,40
azumarill,100,50,80,60,80,50
sudowoodo,70,100,115,30,65,30
politoed,90,75,75,90,100,70
hoppip,35,35,40,35,55,50
skiploom,55,45,50,45,65,80
jumpluff,75,55,70,55,95,110
aipom,55,70,55,40,55,85
sunkern,30,30,30,30,30,30
sunflora,75,75,55,105,85,30
yanma,65,65,45,75,45,95
wooper,55,45,45,25,25,15
quagsire,95,85,85,65,65,35
espeon,65,65,60,130,95,110
umbreon,95,65,110,60,130,65
murkrow,60,85,42,85,42,91
slowking,95,75,80,100,110,30
misdreavus,60,60,60,85,85,85
unown,48,72,48,72,48,48
wobbuffet,190,33,58,33,58,33
girafarig,70,80,65,90,65,85
pineco,50,65,90,35,35,15
forretress,75,90,140,60,60,40
dunsparce,100,70,70,65,65,45
gligar,65,75,105,35,65,85
steelix,75,85,200,55,65,30
snubbull,60,80,50,40,40,30
granbull,90,120,75,60,60,45
qwilfish,65,95,85,55,55,85
scizor,70,130,100,55,80,65
shuckle,20,10,230,10,230,5
heracross,80,125,75,40,95,85
sneasel,55,95,55,35,75,115
teddiursa,60,80,50,50,50,40
ursaring,90,130,75,75,75,55
slugma,40,40,40,70,40,20
magcargo,60,50,120,90,80,30
swinub,50,50,40,30,30,50
piloswine,100,100,80,60,60,50
corsola,65,55,95,65,95,35
remoraid,35,65,35,65,35,65
octillery,75,105,75,105,75,45
delibird,45,55,45,65,45,75
mantine,85,40,70,80,140,70
skarmory,65,80,140,40,70,70
houndour,45,60,30,80,50,65
houndoom,75,90,50,110,80,95
kingdra,75,95,95,95,95,85
phanpy,90,60,60,40,40,40
donphan,90,120,120,60,60,50
porygon2,85,80,90,105,95,60
stantler,73,95,62,85,65,85
smeargle,55,20,35,20,45,75
tyrogue,35,35,35,35,35,35
hitmontop,50,95,95,35,110,70
smoochum,45,30,15,85,65,65
elekid,45,63,37,65,55,95
magby,45,75,37,70,55,83
miltank,95,80,105,40,70,100
blissey,255,10,10,75,135,55
raikou,90,85,75,115,100,115
entei,115,115,85,90,75,100
suicune,100,75,115,90,115,85
larvitar,50,64,50,45,50,41
pupitar,70,84,70,65,70,51
tyranitar,100,134,110,95,100,61
lugia,106,90,130,90,154,110
ho-oh,106,130,90,110,154,90
celebi,100,100,100,100,100,100
treecko,40,45,35,65,55,70
grovyle,50,65,45,85,65,95
sceptile,70,85,65,105,85,120
torchic,45,60,40,70,50,45
combusken,60,85,60,85,60,55
blaziken,80,120,70,110,70,80
mudkip,50,70,50,50,50,40
marshtomp,70,85,70,60,70,50
swampert,100,110,90,85,90,60
poochyena,35,55,35,30,30,35
mightyena,70,90,70,60,60,70
zigzagoon,38,30,41,30,41,60
linoone,78,70,61,50,61,100
wurmple,45,45,35,20,30,20
silcoon,50,35,55,25,25,15
beautifly,60,70,50,100,50,65
cascoon,50,35,55,25,25,15
dustox,60,50,70,50,90,65
lotad,40,30,30,40,50,30
lombre,60,50,50,60,70,50
ludicolo,80,70,70,90,100,70
seedot,40,40,50,30,30,30
nuzleaf,70,70,40,60,40,60
shiftry,90,100,60,90,60,80
taillow,40,55,30,30,30,85
swellow,60,85,60,75,50,125
wingull,40,30,30,55,30,85
pelipper,60,50,100,95,70,65
ralts,28,25,25,45,35,40
kirlia,38,35,35,65,55,50
gardevoir,68,65,65,125,115,80
surskit,40,30,32,50,52,65
masquerain,70,60,62,100,82,80
shroomish,60,40,60,40,60,35
breloom,60,130,80,60,60,70
slakoth,60,60,60,35,35,30
vigoroth,80,80,80,55,55,90
slaking,150,160,100,95,65,100
nincada,31,45,90,30,30,40
ninjask,61,90,45,50,50,160
shedinja,1,90,45,30,30,40
whismur,64,51,23,51,23,28
loudred,84,71,43,71,43,48
exploud,104,91,63,91,73,68
makuhita,72,60,30,20,30,25
hariyama,144,120,60,40,60,50
azurill,50,20,40,20,40,20
nosepass,30,45,135,45,90,30
skitty,50,45,45,35,35,50
delcatty,70,65,65,55,55,90
sableye,50,75,75,65,65,50
mawile,50,85,85,55,55,50
aron,50,70,100,40,40,30
lairon,60,90,140,50,50,40
aggron,70,110,180,60,60,50
meditite,30,40,55,40,55,60
medicham,60,60,75,60,75,80
electrike,40,45,40,65,40,65
manectric,70,75,60,105,60,105
plusle,60,50,40,85,75,95
minun,60,40,50,75,85,95
volbeat,65,73,75,47,85,85
illumise,65,47,75,73,85,85
roselia,50,60,45,100,80,65
gulpin,70,43,53,43,53,40
swalot,100,73,83,73,83,55
carvanha,45,90,20,65,20,65
sharpedo,70,120,40,95,40,95
wailmer,130,70,35,70,35,60
wailord,170,90,45,90,45,60
numel,60,60,40,65,45,35
camerupt,70,100,70,105,75,40
torkoal,70,85,140,85,70,20
spoink,60,25,35,70,80,60
grumpig,80,45,65,90,110,80
spinda,60,60,60,60,60,60
trapinch,45,100,45,45,45,10
vibrava,50,70,50,50,50,70
flygon,80,100,80,80,80,100
cacnea,50,85,40,85,40,35
cacturne,70,115,60,115,60,55
swablu,45,40,60,40,75,50
altaria,75,70,90,70,105,80
zangoose,73,115,60,60,60,90
seviper,73,100,60,100,60,65
lunatone,90,55,65,95,85,70
solrock,90,95,85,55,65,70
barboach,50,48,43,46,41,60
whiscash,110,78,73,76,71,60
corphish,43,80,65,50,35,35
crawdaunt,63,120,85,90,55,55
baltoy,40,40,55,40,70,55
claydol,60,70,105,70,120,75
lileep,66,41,77,61,87,23
cradily,86,81,97,81,107,43
anorith,45,95,50,40,50,75
armaldo,75,125,100,70,80,45
feebas,20,15,20,10,55,80
milotic,95,60,79,100,125,81
castform,70,70,70,70,70,70
kecleon,60,90,70,60,120,40
shuppet,44,75,35,63,33,45
banette,64,115,65,83,63,65
duskull,20,40,90,30,90,25
dusclops,40,70,130,60,130,25
tropius,99,68,83,72,87,51
chimecho,75,50,80,95,90,65
absol,65,130,60,75,60,75
wynaut,95,23,48,23,48,23
snorunt,50,50,50,50,50,50
glalie,80,80,80,80,80,80
spheal,70,40,50,55,50,25
sealeo,90,60,70,75,70,45
walrein,110,80,90,95,90,65
clamperl,35,64,85,74,55,32
huntail,55,104,105,94,75,52
gorebyss,55,84,105,114,75,52
relicanth,100,90,130,45,65,55
luvdisc,43,30,55,40,65,97
bagon,45,75,60,40,30,50
shelgon,65,95,100,60,50,50
salamence,95,135,80,110,80,100
beldum,40,55,80,35,60,30
metang,60,75,100,55,80,50
metagross,80,135,130,95,90,70
regirock,80,100,200,50,100,50
regice,80,50,100,100,200,50
registeel,80,75,150,75,150,50
latias,80,80,90,110,130,110
latios,80,90,80,130,110,110
kyogre,100,100,90,150,140,90
groudon,100,150,140,100,90,90
rayquaza,105,150,90,150,90,95
jirachi,100,100,100,100,100,100
deoxys-normal,50,150,50,150,50,150
turtwig,55,68,64,45,55,31
grotle,75,89,85,55,65,36
torterra,95,109,105,75,85,56
chimchar,44,58,44,58,44,61
monferno,64,78,52,78,52,81
infernape,76,104,71,104,71,108
piplup,53,51,53,61,56,40
prinplup,64,66,68,81,76,50
empoleon,84,86,88,111,101,60
starly,40,55,30,30,30,60
staravia,55,75,50,40,40,80
staraptor,85,120,70,50,60,100
bidoof,59,45,40,35,40,31
bibarel,79,85,60,55,60,71
kricketot,37,25,41,25,41,25
kricketune,77,85,51,55,51,65
shinx,45,65,34,40,34,45
luxio,60,85,49,60,49,60
luxray,80,120,79,95,79,70
budew,40,30,35,50,70,55
roserade,60,70,65,125,105,90
cranidos,67,125,40,30,30,58
rampardos,97,165,60,65,50,58
shieldon,30,42,118,42,88,30
bastiodon,60,52,168,47,138,30
burmy,40,29,45,29,45,36
wormadam-plant,60,59,85,79,105,36
mothim,70,94,50,94,50,66
combee,30,30,42,30,42,70
vespiquen,70,80,102,80,102,40
pachirisu,60,45,70,45,90,95
buizel,55,65,35,60,30,85
floatzel,85,105,55,85,50,115
cherubi,45,35,45,62,53,35
cherrim,70,60,70,87,78,85
shellos,76,48,48,57,62,34
gastrodon,111,83,68,92,82,39
ambipom,75,100,66,60,66,115
drifloon,90,50,34,60,44,70
drifblim,150,80,44,90,54,80
buneary,55,66,44,44,56,85
lopunny,65,76,84,54,96,105
mismagius,60,60,60,105,105,105
honchkrow,100,125,52,105,52,71
glameow,49,55,42,42,37,85
purugly,71,82,64,64,59,112
chingling,45,30,50,65,50,45
stunky,63,63,47,41,41,74
skuntank,103,93,67,71,61,84
bronzor,57,24,86,24,86,23
bronzong,67,89,116,79,116,33
bonsly,50,80,95,10,45,10
mime-jr,20,25,45,70,90,60
happiny,100,5,5,15,65,30
chatot,76,65,45,92,42,91
spiritomb,50,92,108,92,108,35
gible,58,70,45,40,45,42
gabite,68,90,65,50,55,82
garchomp,108,130,95,80,85,102
munchlax,135,85,40,40,85,5
riolu,40,70,40,35,40,60
lucario,70,110,70,115,70,90
hippopotas,68,72,78,38,42,32
hippowdon,108,112,118,68,72,47
skorupi,40,50,90,30,55,65
drapion,70,90,110,60,75,95
croagunk,48,61,40,61,40,50
toxicroak,83,106,65,86,65,85
carnivine,74,100,72,90,72,46
finneon,49,49,56,49,61,66
lumineon,69,69,76,69,86,91
mantyke,45,20,50,60,120,50
snover,60,62,50,62,60,40
abomasnow,90,92,75,92,85,60
weavile,70,120,65,45,85,125
magnezone,70,70,115,130,90,60
lickilicky,110,85,95,80,95,50
rhyperior,115,140,130,55,55,40
tangrowth,100,100,125,110,50,50
electivire,75,123,67,95,85,95
magmortar,75,95,67,125,95,83
togekiss,85,50,95,120,115,80
yanmega,86,76,86,116,56,95
leafeon,65,110,130,60,65,95
glaceon,65,60,110,130,95,65
gliscor,75,95,125,45,75,95
mamoswine,110,130,80,70,60,80
porygon-z,85,80,70,135,75,90
gallade,68,125,65,65,115,80
probopass,60,55,145,75,150,40
dusknoir,45,100,135,65,135,45
froslass,70,80,70,80,70,110
rotom,50,50,77,95,77,91
uxie,75,75,130,75,130,95
mesprit,80,105,105,105,105,80
azelf,75,125,70,125,70,115
dialga,100,120,120,150,100,90
palkia,90,120,100,150,120,100
heatran,91,90,106,130,106,77
regigigas,110,160,110,80,110,100
giratina-altered,150,100,120,100,120,90
cresselia,120,70,110,75,120,85
phione,80,80,80,80,80,80
manaphy,100,100,100,100,100,100
darkrai,70,90,90,135,90,125
shaymin-land,100,100,100,100,100,100
arceus,120,120,120,120,120,120
victini,100,100,100,100,100,100
snivy,45,45,55,45,55,63
servine,60,60,75,60,75,83
serperior,75,75,95,75,95,113
tepig,65,63,45,45,45,45
pignite,90,93,55,70,55,55
emboar,110,123,65,100,65,65
oshawott,55,55,45,63,45,45
dewott,75,75,60,83,60,60
samurott,95,100,85,108,70,70
patrat,45,55,39,35,39,42
watchog,60,85,69,60,69,77
lillipup,45,60,45,25,45,55
herdier,65,80,65,35,65,60
stoutland,85,110,90,45,90,80
purrloin,41,50,37,50,37,66
liepard,64,88,50,88,50,106
pansage,50,53,48,53,48,64
simisage,75,98,63,98,63,101
pansear,50,53,48,53,48,64
simisear,75,98,63,98,63,101
panpour,50,53,48,53,48,64
simipour,75,98,63,98,63,101
munna,76,25,45,67,55,24
musharna,116,55,85,107,95,29
pidove,50,55,50,36,30,43
tranquill,62,77,62,50,42,65
unfezant,80,115,80,65,55,93
blitzle,45,60,32,50,32,76
zebstrika,75,100,63,80,63,116
roggenrola,55,75,85,25,25,15
boldore,70,105,105,50,40,20
gigalith,85,135,130,60,80,25
woobat,65,45,43,55,43,72
swoobat,67,57,55,77,55,114
drilbur,60,85,40,30,45,68
excadrill,110,135,60,50,65,88
audino,103,60,86,60,86,50
timburr,75,80,55,25,35,35
gurdurr,85,105,85,40,50,40
conkeldurr,105,140,95,55,65,45
tympole,50,50,40,50,40,64
palpitoad,75,65,55,65,55,69
seismitoad,105,95,75,85,75,74
throh,120,100,85,30,85,45
sawk,75,125,75,30,75,85
sewaddle,45,53,70,40,60,42
swadloon,55,63,90,50,80,42
leavanny,75,103,80,70,80,92
venipede,30,45,59,30,39,57
whirlipede,40,55,99,40,79,47
scolipede,60,100,89,55,69,112
cottonee,40,27,60,37,50,66
whimsicott,60,67,85,77,75,116
petilil,45,35,50,70,50,30
lilligant,70,60,75,110,75,90
basculin-red-striped,70,92,65,80,55,98
sandile,50,72,35,35,35,65
krokorok,60,82,45,45,45,74
krookodile,95,117,80,65,70,92
darumaka,70,90,45,15,45,50
darmanitan-standard,105,140,55,30,55,95
maractus,75,86,67,106,67,60
dwebble,50,65,85,35,35,55
crustle,70,105,125,65,75,45
scraggy,50,75,70,35,70,48
scrafty,65,90,115,45,115,58
sigilyph,72,58,80,103,80,97
yamask,38,30,85,55,65,30
cofagrigus,58,50,145,95,105,30
tirtouga,54,78,103,53,45,22
carracosta,74,108,133,83,65,32
archen,55,112,45,74,45,70
archeops,75,140,65,112,65,110
trubbish,50,50,62,40,62,65
garbodor,80,95,82,60,82,75
zorua,40,65,40,80,40,65
zoroark,60,105,60,120,60,105
minccino,55,50,40,40,40,75
cinccino,75,95,60,65,60,115
gothita,45,30,50,55,65,45
gothorita,60,45,70,75,85,55
gothitelle,70,55,95,95,110,65
solosis,45,30,40,105,50,20
duosion,65,40,50,125,60,30
reuniclus,110,65,75,125,85,30
ducklett,62,44,50,44,50,55
swanna,75,87,63,87,63,98
vanillite,36,50,50,65,60,44
vanillish,51,65,65,80,75,59
vanilluxe,71,95,85,110,95,79
deerling,60,60,50,40,50,75
sawsbuck,80,100,70,60,70,95
emolga,55,75,60,75,60,103
karrablast,50,75,45,40,45,60
escavalier,70,135,105,60,105,20
foongus,69,55,45,55,55,15
amoonguss,114,85,70,85,80,30
frillish,55,40,50,65,85,40
jellicent,100,60,70,85,105,60
alomomola,165,75,80,40,45,65
joltik,50,47,50,57,50,65
galvantula,70,77,60,97,60,108
ferroseed,44,50,91,24,86,10
ferrothorn,74,94,131,54,116,20
klink,40,55,70,45,60,30
klang,60,80,95,70,85,50
klinklang,60,100,115,70,85,90
tynamo,35,55,40,45,40,60
eelektrik,65,85,70,75,70,40
eelektross,85,115,80,105,80,50
elgyem,55,55,55,85,55,30
beheeyem,75,75,75,125,95,40
litwick,50,30,55,65,55,20
lampent,60,40,60,95,60,55
chandelure,60,55,90,145,90,80
axew,46,87,60,30,40,57
fraxure,66,117,70,40,50,67
haxorus,76,147,90,60,70,97
cubchoo,55,70,40,60,40,40
beartic,95,130,80,70,80,50
cryogonal,80,50,50,95,135,105
shelmet,50,40,85,40,65,25
accelgor,80,70,40,100,60,145
stunfisk,109,66,84,81,99,32
mienfoo,45,85,50,55,50,65
mienshao,65,125,60,95,60,105
druddigon,77,120,90,60,90,48
golett,59,74,50,35,50,35
golurk,89,124,80,55,80,55
pawniard,45,85,70,40,40,60
bisharp,65,125,100,60,70,70
bouffalant,95,110,95,40,95,55
rufflet,70,83,50,37,50,60
braviary,100,123,75,57,75,80
vullaby,70,55,75,45,65,60
mandibuzz,110,65,105,55,95,80
heatmor,85,97,66,105,66,65
durant,58,109,112,48,48,109
deino,52,65,50,45,50,38
zweilous,72,85,70,65,70,58
hydreigon,92,105,90,125,90,98
larvesta,55,85,55,50,55,60
volcarona,85,60,65,135,105,100
cobalion,91,90,129,90,72,108
terrakion,91,129,90,72,90,108
virizion,91,90,72,90,129,108
tornadus-incarnate,79,115,70,125,80,111
thundurus-incarnate,79,115,70,125,80,111
reshiram,100,120,100,150,120,90
zekrom,100,150,120,120,100,90
landorus-incarnate,89,125,90,115,80,101
kyurem,125,130,90,130,90,95
keldeo-ordinary,91,72,90,129,90,108
meloetta-aria,100,77,77,128,128,90
genesect,71,120,95,120,95,99
chespin,56,61,65,48,45,38
quilladin,61,78,95,56,58,57
chesnaught,88,107,122,74,75,64
fennekin,40,45,40,62,60,60
braixen,59,59,58,90,70,73
delphox,75,69,72,114,100,104
froakie,41,56,40,62,44,71
frogadier,54,63,52,83,56,97
greninja,72,95,67,103,71,122
bunnelby,38,36,38,32,36,57
diggersby,85,56,77,50,77,78
fletchling,45,50,43,40,38,62
fletchinder,62,73,55,56,52,84
talonflame,78,81,71,74,69,126
scatterbug,38,35,40,27,25,35
spewpa,45,22,60,27,30,29
vivillon,80,52,50,90,50,89
litleo,62,50,58,73,54,72
pyroar,86,68,72,109,66,106
flabebe,44,38,39,61,79,42
floette,54,45,47,75,98,52
florges,78,65,68,112,154,75
skiddo,66,65,48,62,57,52
gogoat,123,100,62,97,81,68
pancham,67,82,62,46,48,43
pangoro,95,124,78,69,71,58
furfrou,75,80,60,65,90,102
espurr,62,48,54,63,60,68
meowstic-male,74,48,76,83,81,104
honedge,45,80,100,35,37,28
doublade,59,110,150,45,49,35
aegislash-shield,60,50,140,50,140,60
spritzee,78,52,60,63,65,23
aromatisse,101,72,72,99,89,29
swirlix,62,48,66,59,57,49
slurpuff,82,80,86,85,75,72
inkay,53,54,53,37,46,45
malamar,86,92,88,68,75,73
binacle,42,52,67,39,56,50
barbaracle,72,105,115,54,86,68
skrelp,50,60,60,60,60,30
dragalge,65,75,90,97,123,44
clauncher,50,53,62,58,63,44
clawitzer,71,73,88,120,89,59
helioptile,44,38,33,61,43,70
heliolisk,62,55,52,109,94,109
tyrunt,58,89,77,45,45,48
tyrantrum,82,121,119,69,59,71
amaura,77,59,50,67,63,46
aurorus,123,77,72,99,92,58
sylveon,95,65,65,110,130,60
hawlucha,78,92,75,74,63,118
dedenne,67,58,57,81,67,101
carbink,50,50,150,50,150,50
goomy,45,50,35,55,75,40
sliggoo,68,75,53,83,113,60
goodra,90,100,70,110,150,80
klefki,57,80,91,80,87,75
phantump,43,70,48,50,60,38
trevenant,85,110,76,65,82,56
pumpkaboo-average,49,66,70,44,55,51
gourgeist-average,65,90,122,58,75,84
bergmite,55,69,85,32,35,28
avalugg,95,117,184,44,46,28
noibat,40,30,35,45,40,55
noivern,85,70,80,97,80,123
xerneas,126,131,95,131,98,99
yveltal,126,131,95,131,98,99
zygarde-50,108,100,121,81,95,95
diancie,50,100,150,100,150,50
hoopa,80,110,60,150,130,70
volcanion,80,110,120,130,90,70
rowlet,68,55,55,50,50,42
dartrix,78,75,75,70,70,52
decidueye,78,107,75,100,100,70
litten,45,65,40,60,40,70
torracat,65,85,50,80,50,90
incineroar,95,115,90,80,90,60
popplio,50,54,54,66,56,40
brionne,60,69,69,91,81,50
primarina,80,74,74,126,116,60
pikipek,35,75,30,30,30,65
trumbeak,55,85,50,40,50,75
toucannon,80,120,75,75,75,60
yungoos,48,70,30,30,30,45
gumshoos,88,110,60,55,60,45
grubbin,47,62,45,55,45,46
charjabug,57,82,95,55,75,36
vikavolt,77,70,90,145,75,43
crabrawler,47,82,57,42,47,63
crabominable,97,132,77,62,67,43
oricorio-baile,75,70,70,98,70,93
cutiefly,40,45,40,55,40,84
ribombee,60,55,60,95,70,124
rockruff,45,65,40,30,40,60
lycanroc-midday,75,115,65,55,65,112
wishiwashi-solo,45,20,20,25,25,40
mareanie,50,53,62,43,52,45
toxapex,50,63,152,53,142,35
mudbray,70,100,70,45,55,45
mudsdale,100,125,100,55,85,35
dewpider,38,40,52,40,72,27
araquanid,68,70,92,50,132,42
fomantis,40,55,35,50,35,35
lurantis,70,105,90,80,90,45
morelull,40,35,55,65,75,15
shiinotic,60,45,80,90,100,30
salandit,48,44,40,71,40,77
salazzle,68,64,60,111,60,117
stufful,70,75,50,45,50,50
bewear,120,125,80,55,60,60
bounsweet,42,30,38,30,38,32
steenee,52,40,48,40,48,62
tsareena,72,120,98,50,98,72
comfey,51,52,90,82,110,100
oranguru,90,60,80,90,110,60
passimian,100,120,90,40,60,80
wimpod,25,35,40,20,30,80
golisopod,75,125,140,60,90,40
sandygast,55,55,80,70,45,15
palossand,85,75,110,100,75,35
pyukumuku,55,60,130,30,130,5
type-null,95,95,95,95,95,59
silvally,95,95,95,95,95,95
minior-red-meteor,60,60,100,60,100,60
komala,65,115,65,75,95,65
turtonator,60,78,135,91,85,36
togedemaru,65,98,63,40,73,96
mimikyu-disguised,55,90,80,50,105,96
bruxish,68,105,70,70,70,92
drampa,78,60,85,135,91,36
dhelmise,70,131,100,86,90,40
jangmo-o,45,55,65,45,45,45
hakamo-o,55,75,90,65,70,65
kommo-o,75,110,125,100,105,85
tapu-koko,70,115,85,95,75,130
tapu-lele,70,85,75,130,115,95
tapu-bulu,70,130,115,85,95,75
tapu-fini,70,75,115,95,130,85
cosmog,43,29,31,29,31,37
cosmoem,43,29,131,29,131,37
solgaleo,137,137,107,113,89,97
lunala,137,113,89,137,107,97
nihilego,109,53,47,127,131,103
buzzwole,107,139,139,53,53,79
pheromosa,71,137,37,137,37,151
xurkitree,83,89,71,173,71,83
celesteela,97,101,103,107,101,61
kartana,59,181,131,59,31,109
guzzlord,223,101,53,97,53,43
necrozma,97,107,101,127,89,79
magearna,80,95,115,130,115,65
marshadow,90,125,80,90,90,125
poipole,67,73,67,73,67,73
naganadel,73,73,73,127,73,121
stakataka,61,131,211,53,101,13
blacephalon,53,127,53,151,79,107
zeraora,88,112,75,102,80,143
meltan,46,65,65,55,35,34
melmetal,135,143,143,80,65,34
grookey,50,65,50,40,40,65
thwackey,70,85,70,55,60,80
rillaboom,100,125,90,60,70,85
scorbunny,50,71,40,40,40,69
raboot,65,86,60,55,60,94
cinderace,80,116,75,65,75,119
sobble,50,40,40,70,40,70
drizzile,65,60,55,95,55,90
inteleon,70,85,65,125,65,120
skwovet,70,55,55,35,35,25
greedent,120,95,95,55,75,20
rookidee,38,47,35,33,35,57
corvisquire,68,67,55,43,55,77
corviknight,98,87,105,53,85,67
blipbug,25,20,20,25,45,45
dottler,50,35,80,50,90,30
orbeetle,60,45,110,80,120,90
nickit,40,28,28,47,52,50
thievul,70,58,58,87,92,90
