,Breed,Age (Years),Weight (kg),Color,Gender,ID
48,Manx,7,2,Blue,Male,345
49,Russian Blue,3,2,Brown,Female,929
50,American Shorthair,8,6,Tricolor,Male,741
51,Oriental,10,3,Tortoiseshell,Male,874
52,Balinese,3,7,Brown,Male,901
53,Ocicat,15,2,Gray,Female,575
54,Siamese,18,9,Brown,Female,601
55,Russian Blue,18,6,Gray,Female,319
56,Tonkinese,12,4,Tabby,Male,863
57,Birman,3,7,Red,Female,415
58,Birman,4,5,Bicolor,Male,709
59,Oriental,1,2,Tortoiseshell,Female,30
60,Cornish Rex,11,3,Orange,Male,804
61,Norwegian Forest,17,5,Black,Female,110
62,Burmese,2,8,Tortoiseshell,Female,219
63,Sphynx,6,3,Tortoiseshell,Female,35
64,Scottish Fold,8,5,Tricolor,Male,75
65,Egyptian Mau,2,9,Gray,Male,178
66,Abyssinian,2,2,Tricolor,Male,501
67,Siamese,15,8,White,Female,917
68,Scottish Fold,18,9,Red,Male,991
69,American Shorthair,11,2,Blue,Male,847
70,Balinese,3,7,Cream,Female,342
71,Ragdoll,3,5,Pointed,Female,297
72,Himalayan,4,4,Tricolor,Female,511
73,Siberian,7,7,Cream,Male,567
74,British Shorthair,14,7,Red,Female,84
75,Scottish Fold,2,4,Tortoiseshell,Male,566
76,Abyssinian,5,2,Tortoiseshell,Male,370
77,Singapura,4,2,Orange,Female,935
78,Oriental,17,4,Gray,Female,81
79,Turkish Angora,19,9,Bicolor,Female,765
80,Balinese,14,9,Black,Female,422
81,Chartreux,5,8,Tortoiseshell,Male,481
82,Munchkin,18,8,Orange,Female,454
83,Chartreux,11,8,Black,Female,317
84,Savannah,18,3,Brown,Female,170
85,Russian Blue,15,5,Tabby,Male,587
86,Savannah,4,4,Black,Female,853
87,Chartreux,13,2,Pointed,Male,555
88,Russian Blue,19,7,Tortoiseshell,Female,0
89,Chartreux,16,8,Calico,Female,117
90,American Shorthair,17,5,Brown,Male,262
91,Tonkinese,9,7,Orange,Male,800
92,Cornish Rex,15,6,Blue,Male,60
93,Savannah,17,7,Blue,Male,328
94,Chartreux,6,2,Tabby,Male,93
95,Turkish Angora,15,8,Red,Male,179
96,Burmese,7,3,Bicolor,Male,322
97,Siamese,8,4,Brown,Female,515
98,Maine Coon,9,5,Blue,Female,590
99,Cornish Rex,11,6,Bicolor,Female,527
100,Ocicat,9,6,White,Male,826
101,Savannah,5,2,Black,Male,722
102,American Shorthair,7,8,Bicolor,Female,59
103,Norwegian Forest,18,2,Tortoiseshell,Female,718
104,Siberian,13,8,Pointed,Female,686
105,Burmese,14,5,Pointed,Male,15
106,Exotic Shorthair,14,6,Calico,Male,671
107,Scottish Fold,11,4,Black,Female,457
108,American Shorthair,5,6,Pointed,Female,377
109,Egyptian Mau,3,8,Brown,Male,651
110,Russian Blue,4,9,Tricolor,Female,626
111,Oriental,11,8,Tricolor,Male,668
112,Himalayan,5,7,Brown,Female,858
113,American Shorthair,15,8,Brown,Male,824
114,Exotic Shorthair,12,5,Gray,Male,898
115,Savannah,8,4,Black,Female,275
116,Abyssinian,2,4,Red,Female,617
117,Munchkin,8,5,Red,Female,473
118,British Shorthair,2,4,Tabby,Female,994
119,Manx,19,6,Cream,Female,289
120,Scottish Fold,8,2,Brown,Male,135
121,Turkish Angora,19,9,Brown,Male,411
122,Himalayan,13,6,Blue,Female,489
123,Chartreux,2,5,Red,Male,239
124,Norwegian Forest,2,4,White,Female,698
125,Burmese,13,6,Red,Female,610
126,Norwegian Forest,14,3,Red,Male,819
127,Siamese,2,8,Calico,Male,747
128,American Shorthair,19,6,Gray,Female,519
129,Russian Blue,11,7,Blue,Male,579
130,Cornish Rex,18,9,Pointed,Male,423
131,Maine Coon,19,3,Tortoiseshell,Female,931
132,Scottish Fold,11,6,Tabby,Male,311
133,Savannah,2,9,White,Male,767
134,Bengal,11,5,Tortoiseshell,Female,99
135,American Shorthair,10,9,Red,Female,971
136,Egyptian Mau,15,2,Tabby,Male,288
137,Bengal,18,5,Brown,Female,834
138,Munchkin,1,8,Gray,Male,426
139,Ragdoll,8,3,Cream,Male,133
140,Cornish Rex,9,9,Blue,Male,688
141,American Shorthair,7,4,Orange,Female,246
142,Scottish Fold,17,8,Sable,Male,558
143,Ocicat,11,5,Red,Female,408
144,American Shorthair,6,8,Bicolor,Female,143
145,Bengal,5,2,Tabby,Male,524
146,Scottish Fold,8,8,Sable,Male,650
147,Himalayan,16,8,Red,Male,546
148,Ragdoll,4,4,Pointed,Female,189
149,British Shorthair,18,4,Calico,Female,715
150,Abyssinian,5,9,Tortoiseshell,Female,138
151,Munchkin,12,9,Sable,Female,283
152,Tonkinese,19,5,Pointed,Male,543
153,Tonkinese,14,8,Sable,Male,813
154,British Shorthair,8,4,Pointed,Male,779
155,Maine Coon,18,7,Black,Male,335
156,Scottish Fold,17,2,Sable,Male,265
157,Siamese,6,2,Orange,Male,321
158,Siamese,4,6,Pointed,Male,980
159,Burmese,13,3,Pointed,Male,16
160,Balinese,13,4,Red,Male,905
161,Savannah,3,2,Pointed,Male,168
162,Abyssinian,9,3,Tabby,Male,21
163,Egyptian Mau,17,5,Sable,Female,968
164,Burmese,14,9,Pointed,Female,186
165,Ocicat,14,7,Gray,Male,754
166,British Shorthair,17,6,Cream,Female,20
167,Bengal,18,5,Brown,Female,436
168,Exotic Shorthair,11,3,White,Female,334
169,Burmese,8,3,Blue,Female,407
170,Burmese,18,4,Bicolor,Female,77
171,British Shorthair,3,6,Bicolor,Female,177
172,Oriental,7,2,Blue,Male,682
173,Manx,7,4,Pointed,Female,670
174,Ragdoll,2,5,Tricolor,Male,92
175,Oriental,10,3,Gray,Female,386
176,Siamese,18,8,Calico,Female,329
177,Himalayan,18,8,Tricolor,Female,896
178,Persian,12,4,Orange,Male,206
179,Munchkin,10,8,Calico,Female,944
180,Tonkinese,16,9,Orange,Female,256
181,Sphynx,3,7,Sable,Male,324
182,American Shorthair,2,8,Black,Male,388
183,British Shorthair,1,8,Pointed,Male,599
184,American Shorthair,11,8,Blue,Male,891
185,Oriental,7,3,Tricolor,Female,300
186,Cornish Rex,6,9,Pointed,Male,22
187,Savannah,12,3,Sable,Female,86
188,Scottish Fold,3,5,Cream,Male,490
189,Abyssinian,2,5,Tabby,Female,241
190,Siamese,19,6,Gray,Male,583
191,Ocicat,4,5,Red,Female,160
192,British Shorthair,3,5,Tricolor,Male,68
193,British Shorthair,9,7,Black,Male,479
194,Egyptian Mau,16,4,White,Female,462
195,Norwegian Forest,19,9,Tortoiseshell,Female,1
196,Exotic Shorthair,2,5,Black,Female,132
197,Savannah,18,5,Calico,Female,425
198,Abyssinian,4,5,Calico,Female,453
199,Ragdoll,7,4,Calico,Male,151
200,Egyptian Mau,10,6,Pointed,Female,440
201,Cornish Rex,12,9,Sable,Male,521
202,Singapura,8,3,Orange,Male,925
203,Norwegian Forest,7,9,Cream,Male,263
204,Munchkin,13,8,Tricolor,Male,641
205,Balinese,12,4,Orange,Male,973
206,Maine Coon,18,5,Tabby,Male,559
207,Sphynx,19,8,Blue,Male,271
208,Persian,1,4,Red,Male,413
209,Scottish Fold,2,9,Sable,Female,821
210,Ragdoll,3,5,Orange,Female,828
211,Birman,8,6,Gray,Female,197
212,Egyptian Mau,18,8,White,Female,701
213,American Shorthair,13,8,Black,Male,39
214,Exotic Shorthair,6,4,Calico,Female,993
215,Sphynx,8,3,Tricolor,Female,805
216,Maine Coon,18,2,Cream,Female,605
217,Scottish Fold,9,6,Sable,Male,96
218,Sphynx,10,3,Tabby,Male,121
219,Persian,18,7,Sable,Female,632
220,Himalayan,8,9,Tabby,Male,591
221,Egyptian Mau,19,3,Tricolor,Female,637
222,Himalayan,12,9,Pointed,Female,850
223,Cornish Rex,1,6,Tabby,Female,680
224,Exotic Shorthair,5,5,Tricolor,Male,253
225,Balinese,17,6,Red,Female,560
226,Turkish Angora,8,3,Black,Male,862
227,Himalayan,6,6,Tortoiseshell,Male,25
228,Scottish Fold,7,2,Gray,Male,166
229,Ragdoll,9,5,Tortoiseshell,Male,955
230,Birman,2,9,Bicolor,Male,232
231,Tonkinese,3,8,Brown,Male,175
232,Oriental,13,8,Bicolor,Female,745
233,Singapura,7,3,Blue,Female,18
234,Burmese,11,8,Brown,Female,837
235,British Shorthair,3,7,Tortoiseshell,Male,238
236,Munchkin,17,7,Orange,Female,378
237,Burmese,17,5,Orange,Male,217
238,Siamese,10,2,Orange,Female,761
239,Abyssinian,1,3,Tabby,Male,638
240,Himalayan,13,6,White,Female,843
241,Norwegian Forest,12,5,Brown,Female,762
242,Tonkinese,6,7,Black,Female,548
243,Exotic Shorthair,3,6,Pointed,Female,351
244,Ragdoll,10,7,Blue,Female,156
245,Exotic Shorthair,11,3,Black,Female,409
246,Bengal,7,8,Cream,Female,735
247,Sphynx,7,6,Gray,Male,640
248,Siamese,7,2,Orange,Male,199
249,Egyptian Mau,12,3,White,Male,9
250,Himalayan,17,7,Orange,Female,374
251,Maine Coon,12,3,White,Female,616
252,Ocicat,12,3,Brown,Male,535
253,Oriental,7,8,Cream,Male,302
254,American Shorthair,12,8,Tortoiseshell,Female,946
255,Maine Coon,5,4,Pointed,Female,903
256,Russian Blue,4,9,Gray,Male,809
257,Balinese,11,4,Tortoiseshell,Male,458
258,Oriental,15,2,Bicolor,Male,545
259,Cornish Rex,5,4,Black,Female,904
260,Ragdoll,5,8,Cream,Female,83
261,Manx,14,9,Blue,Female,237
262,Manx,14,5,Calico,Female,921
263,Sphynx,1,4,Tabby,Female,532
264,Abyssinian,16,3,Brown,Female,441
265,Egyptian Mau,15,6,Tabby,Female,230
266,Singapura,8,2,Blue,Female,753
267,Persian,11,9,Bicolor,Male,429
268,Manx,6,7,Black,Male,82
269,Abyssinian,19,2,Gray,Male,544
270,Munchkin,2,8,Orange,Male,868
271,Exotic Shorthair,6,2,Brown,Female,536
272,Ragdoll,5,5,White,Male,463
273,Savannah,11,5,Gray,Female,585
274,Sphynx,9,9,Red,Female,766
275,Abyssinian,12,4,Calico,Female,894
276,Sphynx,11,3,Orange,Female,839
277,Turkish Angora,16,4,Black,Female,849
278,Sphynx,18,5,Calico,Female,836
279,Devon Rex,13,3,Bicolor,Male,399
280,British Shorthair,6,8,Calico,Female,496
281,Bengal,5,7,Tabby,Female,343
282,Devon Rex,19,8,Brown,Female,224
283,Sphynx,12,6,Red,Female,125
284,Siamese,4,5,White,Male,969
285,Exotic Shorthair,19,4,Tortoiseshell,Female,618
286,Turkish Angora,5,4,Brown,Male,91
287,British Shorthair,13,9,Gray,Female,661
288,Maine Coon,16,9,Black,Female,353
289,Exotic Shorthair,14,5,Pointed,Male,365
290,Burmese,10,5,Pointed,Male,760
291,Manx,1,5,Red,Female,947
292,Ragdoll,17,5,Cream,Female,627
293,Singapura,3,6,Calico,Male,76
294,Tonkinese,5,4,Cream,Male,437
295,Bengal,10,2,Black,Male,326
296,Abyssinian,14,3,Pointed,Female,80
297,Exotic Shorthair,12,6,White,Male,829
298,Maine Coon,7,3,White,Female,981
299,Burmese,18,7,Blue,Male,200
300,Bengal,11,2,Red,Female,562
301,Siberian,8,8,Calico,Male,792
302,Tonkinese,11,6,Tricolor,Male,734
303,British Shorthair,2,7,Red,Female,267
304,Ocicat,13,6,Tortoiseshell,Male,312
305,Abyssinian,16,5,Black,Female,714
306,Oriental,12,5,Blue,Male,719
307,Turkish Angora,9,3,Orange,Male,87
308,Cornish Rex,2,7,Tabby,Male,986
309,Balinese,5,6,White,Female,97
310,Norwegian Forest,7,6,Bicolor,Female,983
311,Manx,15,7,Black,Male,939
312,Burmese,12,5,Tricolor,Male,941
313,Turkish Angora,19,3,Gray,Male,155
314,Munchkin,3,3,Tortoiseshell,Male,738
315,Egyptian Mau,8,6,White,Male,43
316,Chartreux,10,4,Tricolor,Female,852
317,Scottish Fold,5,3,Blue,Female,961
318,British Shorthair,18,6,Brown,Male,770
319,Norwegian Forest,1,7,Cream,Female,115
320,Persian,6,2,Blue,Male,53
321,Manx,4,9,Tabby,Female,529
322,Russian Blue,7,6,Red,Female,308
323,Chartreux,15,2,Calico,Male,66
324,Scottish Fold,5,4,Tricolor,Male,582
325,Chartreux,5,6,Tricolor,Male,639
326,Egyptian Mau,11,6,Sable,Female,550
327,Devon Rex,1,5,Blue,Female,137
328,Maine Coon,17,4,Sable,Female,846
329,Maine Coon,15,9,Calico,Male,531
330,Sphynx,13,7,Blue,Male,799
331,Balinese,5,5,Blue,Male,918
332,Norwegian Forest,2,4,Tricolor,Male,244
333,Munchkin,7,5,Black,Female,909
334,Bengal,3,5,Cream,Male,452
335,Birman,14,2,Cream,Male,184
336,Persian,2,8,Calico,Female,549
337,Burmese,19,7,Black,Male,769
338,Bengal,15,6,Red,Female,669
339,Sphynx,18,6,Cream,Male,780
340,Munchkin,19,2,Bicolor,Female,474
341,Manx,12,3,Black,Male,214
342,Ragdoll,1,4,Tortoiseshell,Male,965
343,Siamese,16,6,White,Male,467
344,Ocicat,9,8,Blue,Female,5
345,Ragdoll,2,7,Tabby,Female,557
346,Munchkin,5,8,Red,Female,574
347,Turkish Angora,11,5,Bicolor,Male,47
348,Munchkin,15,4,Black,Male,486
349,Birman,8,4,Bicolor,Female,325
350,Russian Blue,17,3,Pointed,Female,663
351,Himalayan,7,9,Tabby,Female,42
352,Siamese,6,4,Bicolor,Male,171
353,British Shorthair,9,7,Tabby,Female,992
354,Persian,6,8,Calico,Female,90
355,Singapura,7,3,Tabby,Male,910
356,Siamese,17,7,Calico,Female,699
357,Ragdoll,18,7,Sable,Male,153
358,Ragdoll,15,9,Pointed,Male,349
359,Egyptian Mau,4,8,Sable,Female,768
360,Siberian,6,2,Cream,Male,687
361,Chartreux,16,2,Sable,Male,331
362,American Shorthair,6,2,Cream,Female,940
363,Norwegian Forest,7,7,Cream,Male,707
364,Abyssinian,8,8,Orange,Female,315
365,Burmese,8,9,Sable,Male,421
366,Maine Coon,19,9,Brown,Female,584
367,Abyssinian,15,4,Gray,Female,371
368,British Shorthair,2,5,Tricolor,Male,510
369,Manx,9,7,Blue,Male,665
370,Maine Coon,7,6,Tortoiseshell,Male,857
371,Munchkin,12,6,Bicolor,Male,922
372,American Shorthair,10,3,Tortoiseshell,Male,954
373,Ragdoll,1,4,Bicolor,Female,346
374,Maine Coon,4,8,Black,Female,78
375,Persian,16,5,Orange,Female,174
376,Egyptian Mau,5,9,Sable,Female,172
377,Russian Blue,9,4,Brown,Female,956
378,Sphynx,18,4,Cream,Male,26
379,Ocicat,9,7,Orange,Male,789
380,Balinese,8,5,White,Female,357
381,Egyptian Mau,12,8,Calico,Male,774
382,Ocicat,2,2,Calico,Female,147
383,Ragdoll,6,5,Calico,Female,6
384,Siberian,18,2,White,Male,667
385,Ocicat,18,6,Sable,Female,89
386,Norwegian Forest,3,5,Blue,Male,679
387,Oriental,3,4,Orange,Female,140
388,Siberian,19,3,Tabby,Male,444
389,British Shorthair,9,9,White,Male,989
390,Siamese,17,3,Gray,Female,728
391,Ocicat,19,5,Tortoiseshell,Male,820
392,Burmese,17,2,Black,Male,242
393,Persian,10,5,Blue,Male,744
394,Maine Coon,5,4,Tricolor,Male,318
395,Tonkinese,16,3,Calico,Female,878
396,Egyptian Mau,8,3,Cream,Male,34
397,British Shorthair,4,7,Red,Male,100
398,Maine Coon,16,6,Tabby,Female,231
399,Chartreux,4,3,Tabby,Female,721
400,Persian,6,7,Brown,Female,876
401,American Shorthair,12,6,Brown,Female,880
402,Russian Blue,1,3,Sable,Female,919
403,Oriental,16,4,Blue,Male,547
404,Siberian,1,3,Cream,Female,520
405,Egyptian Mau,6,2,Cream,Female,380
406,Savannah,8,4,Bicolor,Male,872
407,Tonkinese,19,9,Sable,Male,504
408,Turkish Angora,6,6,Brown,Female,109
409,Burmese,13,2,Cream,Female,518
410,Sphynx,9,7,Brown,Female,330
411,Russian Blue,3,5,Gray,Female,697
412,Savannah,7,8,Orange,Female,144
413,Bengal,16,6,White,Male,12
414,Scottish Fold,3,7,Tricolor,Male,900
415,Maine Coon,17,4,Black,Male,50
416,Manx,9,2,Pointed,Female,223
417,Bengal,18,9,Blue,Male,785
418,Singapura,8,5,Orange,Female,198
419,Birman,15,8,Red,Female,619
420,Balinese,2,4,Orange,Female,107
421,Chartreux,19,6,Calico,Female,139
422,Ragdoll,3,8,Cream,Female,623
423,Ragdoll,8,4,Orange,Male,438
424,American Shorthair,11,3,Bicolor,Male,942
425,Devon Rex,11,9,Tabby,Male,482
426,Oriental,12,2,Black,Male,784
427,Abyssinian,15,5,Sable,Male,816
428,Cornish Rex,10,5,Tabby,Male,56
429,Himalayan,11,8,Cream,Female,893
430,Scottish Fold,19,7,Cream,Male,823
431,Manx,2,5,Gray,Male,514
432,Abyssinian,14,4,Pointed,Female,416
433,Balinese,11,9,White,Male,31
434,Turkish Angora,17,5,Blue,Male,854
435,Tonkinese,17,4,Brown,Male,861
436,Egyptian Mau,18,7,Tricolor,Female,292
437,Siamese,9,4,White,Female,865
438,Siberian,5,6,Bicolor,Female,798
439,Bengal,15,4,Brown,Female,977
440,Singapura,7,6,Pointed,Male,145
441,Ocicat,14,8,Cream,Male,287
442,Singapura,14,9,Tricolor,Male,470
443,Ragdoll,6,4,Pointed,Female,600
444,Tonkinese,15,2,Black,Female,279
445,Burmese,6,7,Calico,Female,24
446,Exotic Shorthair,14,9,Sable,Female,259
447,Tonkinese,17,5,Cream,Male,542
448,Ocicat,18,9,Pointed,Female,390
449,Himalayan,4,4,White,Female,336
450,Cornish Rex,17,6,Black,Female,412
451,Burmese,3,2,Tricolor,Male,522
452,Persian,9,3,Black,Male,141
453,Oriental,1,5,Tabby,Male,301
454,Singapura,7,5,Tabby,Male,456
455,British Shorthair,19,8,Tortoiseshell,Female,628
456,Singapura,3,6,Brown,Female,419
457,Ragdoll,12,4,Pointed,Female,586
458,Ragdoll,13,4,Brown,Male,57
459,Ocicat,10,9,Cream,Male,951
460,Savannah,16,7,Sable,Female,635
461,Oriental,11,4,Brown,Female,691
462,Birman,15,5,Tabby,Male,748
463,Cornish Rex,5,2,White,Female,146
464,Ragdoll,19,9,Tortoiseshell,Male,208
465,Sphynx,12,7,Calico,Female,360
466,Himalayan,15,7,Calico,Male,381
467,Birman,10,9,Bicolor,Female,568
468,Maine Coon,5,3,Calico,Male,164
469,Egyptian Mau,2,6,Cream,Male,541
470,Scottish Fold,11,5,Gray,Female,430
471,Singapura,15,7,Pointed,Male,794
472,Savannah,13,5,Calico,Female,570
473,Manx,1,7,Tortoiseshell,Female,533
474,Birman,15,8,Pointed,Female,195
475,Chartreux,19,9,White,Female,369
476,Ocicat,16,7,Blue,Female,625
477,Manx,1,3,Tricolor,Male,254
478,Maine Coon,3,7,Orange,Male,537
479,Sphynx,8,4,Blue,Male,281
480,Egyptian Mau,13,3,Pointed,Male,32
481,Himalayan,17,3,White,Female,526
482,Ocicat,15,7,Black,Female,664
483,Ocicat,9,5,Blue,Male,461
484,Burmese,13,9,Pointed,Male,258
485,Turkish Angora,2,7,Pointed,Male,703
486,British Shorthair,19,5,Gray,Female,995
487,American Shorthair,9,3,Tortoiseshell,Male,350
488,Manx,6,3,Tricolor,Female,825
489,Chartreux,15,5,Pointed,Female,614
490,Scottish Fold,4,7,Sable,Male,400
491,Bengal,15,5,Tricolor,Male,207
492,Bengal,6,7,Orange,Male,561
493,Abyssinian,10,5,Tabby,Female,314
494,Tonkinese,12,4,Tortoiseshell,Male,975
495,Russian Blue,9,5,Tortoiseshell,Male,105
496,Cornish Rex,5,9,Brown,Female,290
497,Persian,18,4,Bicolor,Female,645
498,Tonkinese,16,5,Red,Female,227
499,Maine Coon,18,6,Tabby,Male,936
500,Egyptian Mau,5,9,Black,Male,414
501,Cornish Rex,19,8,Orange,Male,272
502,American Shorthair,15,8,Gray,Male,666
503,Chartreux,3,5,Red,Female,923
504,Siamese,1,8,Tabby,Female,359
505,Devon Rex,5,2,Gray,Male,344
506,Burmese,9,8,Tortoiseshell,Female,755
507,Ragdoll,12,3,Tabby,Male,822
508,Birman,16,7,Bicolor,Female,194
509,Maine Coon,8,6,Blue,Male,478
510,Balinese,14,4,Tortoiseshell,Female,887
511,Burmese,13,4,Blue,Female,41
512,Oriental,15,5,Tabby,Female,74
513,Birman,1,3,Red,Male,795
514,British Shorthair,17,8,Brown,Male,495
515,Sphynx,3,2,Tricolor,Male,445
516,Ragdoll,17,6,Tabby,Male,838
517,Bengal,11,4,Calico,Male,106
518,Tonkinese,19,4,Bicolor,Female,786
519,Chartreux,2,7,Gray,Male,291
520,American Shorthair,3,7,Pointed,Male,159
521,Balinese,9,3,Black,Female,103
522,Devon Rex,1,3,Tabby,Female,855
523,Burmese,2,7,Tortoiseshell,Male,182
524,Burmese,4,4,White,Male,953
525,Persian,13,7,Sable,Male,424
526,Scottish Fold,16,8,Tricolor,Male,928
527,Cornish Rex,6,5,Orange,Female,472
528,Scottish Fold,17,7,Gray,Female,180
529,Balinese,11,8,Tabby,Female,571
530,Bengal,8,3,Red,Female,65
531,Siamese,12,6,Pointed,Female,286
532,American Shorthair,12,5,Tabby,Female,831
533,British Shorthair,11,8,Calico,Male,772
534,Savannah,5,5,Bicolor,Male,393
535,British Shorthair,19,3,Red,Female,14
536,Siamese,9,5,Gray,Female,689
537,Birman,17,7,Pointed,Female,69
538,Turkish Angora,8,2,Tricolor,Female,814
539,Manx,16,9,Sable,Female,649
540,Balinese,9,6,Bicolor,Female,530
541,Sphynx,14,9,White,Male,988
542,American Shorthair,12,9,Black,Male,737
543,Birman,17,3,Tricolor,Male,341
544,Russian Blue,14,6,Gray,Male,203
545,Oriental,17,7,Red,Female,51
546,Bengal,6,8,White,Female,101
547,Birman,12,8,Tricolor,Female,840
548,Norwegian Forest,14,3,Cream,Female,249
549,Himalayan,18,6,Black,Female,790
550,Persian,13,6,Sable,Female,3
551,Balinese,5,6,Gray,Male,157
552,Balinese,16,7,Tricolor,Female,70
553,Balinese,12,8,Blue,Female,676
554,Egyptian Mau,9,5,Bicolor,Female,866
555,Manx,14,2,Tortoiseshell,Male,494
556,Manx,5,8,White,Male,602
557,Russian Blue,14,8,Gray,Female,877
558,Devon Rex,1,5,Tortoiseshell,Female,884
559,Siberian,18,3,Gray,Female,493
560,Ragdoll,2,4,Tricolor,Female,962
561,American Shorthair,16,7,Tabby,Female,154
562,Bengal,6,3,Tortoiseshell,Male,924
563,Turkish Angora,11,3,Calico,Female,305
564,Turkish Angora,14,3,Blue,Male,644
565,Cornish Rex,7,9,Orange,Male,867
566,Sphynx,5,8,Sable,Male,598
567,American Shorthair,13,5,Black,Male,11
568,Sphynx,19,5,Black,Female,932
569,Oriental,7,8,Orange,Male,395
570,Egyptian Mau,16,8,Gray,Male,468
571,Bengal,3,3,Tabby,Male,841
572,Birman,4,7,Brown,Female,508
573,Cornish Rex,6,8,Red,Female,85
574,Siberian,2,5,Tabby,Male,716
575,Norwegian Forest,1,2,Tortoiseshell,Male,565
576,Persian,16,2,Sable,Male,758
577,Birman,4,6,Bicolor,Female,447
578,Chartreux,11,4,Sable,Female,999
579,Oriental,17,5,Blue,Female,727
580,Abyssinian,18,9,Tortoiseshell,Male,299
581,Cornish Rex,12,6,Calico,Male,540
582,Singapura,14,5,Tricolor,Male,163
583,Exotic Shorthair,13,9,Orange,Male,358
584,Exotic Shorthair,17,6,Blue,Female,383
585,Tonkinese,12,6,Cream,Female,528
586,Chartreux,11,2,Tortoiseshell,Female,469
587,Savannah,19,9,Tabby,Female,379
588,Cornish Rex,3,3,Gray,Male,534
589,Russian Blue,5,5,White,Male,987
590,Tonkinese,7,8,Sable,Female,398
591,Balinese,6,3,Gray,Male,629
592,Scottish Fold,17,6,Tricolor,Male,54
593,Balinese,14,4,Bicolor,Male,277
594,Egyptian Mau,7,9,Sable,Male,578
595,Siberian,17,9,Bicolor,Female,240
596,Singapura,14,2,Tabby,Female,657
597,Munchkin,5,8,Tortoiseshell,Male,516
598,American Shorthair,16,7,Bicolor,Male,128
599,Devon Rex,9,6,Orange,Female,746
600,Himalayan,18,7,Pointed,Male,352
601,Turkish Angora,4,5,Orange,Male,731
602,Norwegian Forest,13,8,Tortoiseshell,Female,449
603,Manx,10,9,Tricolor,Female,52
604,Savannah,16,3,Tabby,Male,273
605,Burmese,3,4,Cream,Male,551
606,American Shorthair,16,4,Tricolor,Female,723
607,Norwegian Forest,16,9,Bicolor,Female,367
608,Persian,5,4,Bicolor,Male,64
609,Devon Rex,14,2,Gray,Male,564
610,Devon Rex,17,5,White,Male,332
611,Cornish Rex,2,4,Brown,Female,417
612,Chartreux,16,4,White,Male,10
613,Tonkinese,3,8,Blue,Female,432
614,Ocicat,8,6,Red,Male,235
615,Tonkinese,16,5,Bicolor,Female,167
616,Devon Rex,8,9,Blue,Female,337
617,Turkish Angora,16,6,Sable,Female,23
618,Burmese,9,2,Gray,Male,503
619,Russian Blue,17,4,Bicolor,Female,525
620,Devon Rex,19,7,Orange,Male,801
621,Abyssinian,11,7,White,Male,933
622,Tonkinese,3,3,Red,Female,984
623,Abyssinian,8,6,White,Male,497
624,Manx,7,8,Orange,Female,966
625,Munchkin,1,4,Tortoiseshell,Female,730
626,Savannah,7,7,Gray,Male,712
627,Singapura,11,7,Tricolor,Female,692
628,Birman,18,3,Brown,Female,333
629,American Shorthair,14,9,Tortoiseshell,Female,685
630,Siamese,17,4,Tortoiseshell,Female,134
631,Savannah,12,5,Bicolor,Female,997
632,American Shorthair,8,6,Blue,Female,475
633,Balinese,11,5,Brown,Female,873
634,Oriental,2,7,White,Male,8
635,Manx,12,8,Tabby,Female,678
