customer_id,ad_type,ad_medium,ad_response,items_purchased,drinks_purchased
2517,REWARD - Free Baja Blast with purchase of $20 or more,15 sec YouTube ad,True,"['soft taco', 'steak garlic nacho fries', 'nachos bellgrande', 'beefy 5 layer burrito', 'nachos bellgrande', 'crunchy taco', 'beefy 5 layer burrito', 'crunchy taco']","['baja blast', 'baja blast']"
6357,DISCOUNT-5%,15 sec YouTube ad,False,['spicy potato soft taco'],['mountain dew']
1907,BOGO - Baja Blast,Static Facebook ad,False,['cheesy gordita crunch'],['starry']
5707,DISCOUNT-10%,Static Facebook ad,False,"['spicy potato soft taco', 'chalupa supreme', 'cinnamon twists', 'cheesy bean and rice burrito', 'cinnamon twists']","['mug root beer', 'iced tea', 'gatorade', 'mug root beer', 'brisk']"
2461,DISCOUNT-5%,15 sec YouTube ad,True,"['chalupa supreme', 'steak garlic nacho fries', 'crunchy taco']","['iced tea', 'starry', 'mountain dew']"
5521,DISCOUNT-20%,Newspaper ad,True,"['cinnamon twists', 'cravings box', 'mexican pizza', 'spicy potato soft taco', 'nachos bellgrande']","['starry', 'baja blast', 'diet pepsi', 'diet pepsi', 'brisk']"
3201,DISCOUNT-20%,Static Facebook ad,True,"['spicy potato soft taco', 'crunchy taco']","['gatorade', 'mountain dew']"
3335,REWARD - Free Baja Blast with purchase of $20 or more,30 sec cable TV ad,False,"['cravings box', 'cheesy bean and rice burrito', 'cinnamon twists', 'cinnamon twists', 'chalupa supreme']","['baja blast', 'diet pepsi', 'mug root beer', 'starry', 'baja blast']"
176,DISCOUNT-10%,30 sec cable TV ad,False,"['nachos bellgrande', 'chicken quesadilla', 'mexican pizza']","['baja blast', 'baja blast', 'baja blast']"
5329,BOGO - Garlic Steak Nacho Fries,15 sec YouTube ad,True,"['steak garlic nacho fries', 'steak garlic nacho fries', 'steak garlic nacho fries']","['baja blast', 'pepsi', 'baja blast']"
8920,BOGO - Baja Blast,15 sec YouTube ad,True,"['cheesy bean and rice burrito', 'cravings box']","['baja blast', 'baja blast']"
5985,BOGO - Garlic Steak Nacho Fries,15 sec TikTok ad,True,"['steak garlic nacho fries', 'steak garlic nacho fries', 'mexican pizza']","['pepsi', 'brisk', 'baja blast']"
4511,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,15 sec YouTube ad,True,"['steak garlic nacho fries', 'nachos bellgrande', 'cheesy gordita crunch', 'chalupa supreme', 'steak garlic nacho fries', 'cheesy gordita crunch', 'mexican pizza', 'cinnamon twists', 'beefy 5 layer burrito']","['gatorade', 'diet pepsi']"
8645,DISCOUNT-10%,Instagram photo ad,False,['chicken quesadilla'],['pepsi']
3646,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,30 sec cable TV ad,False,"['crunchwrap supreme', 'spicy potato soft taco', 'crunchy taco', 'cheesy gordita crunch', 'steak garlic nacho fries', 'chalupa supreme', 'mexican pizza']","['pepsi', 'gatorade', 'gatorade', 'diet pepsi', 'mountain dew', 'baja blast', 'baja blast']"
4578,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,Newspaper ad,False,"['steak garlic nacho fries', 'steak garlic nacho fries', 'crunchwrap supreme', 'mexican pizza']","['brisk', 'pepsi', 'iced tea', 'gatorade']"
5726,DISCOUNT-20%,Instagram photo ad,False,"['cinnamon twists', 'crunchy taco']","['iced tea', 'diet pepsi']"
1157,DISCOUNT-5%,30 sec Hulu commercial,False,"['chalupa supreme', 'cinnamon twists', 'cheesy bean and rice burrito', 'cravings box', 'cravings box', 'nachos bellgrande']","['baja blast', 'mountain dew', 'mug root beer', 'brisk', 'baja blast', 'pepsi']"
4508,DISCOUNT-5%,15 sec TikTok ad,False,"['steak garlic nacho fries', 'steak garlic nacho fries']","['mug root beer', 'pepsi']"
1458,DISCOUNT-10%,Instagram photo ad,False,"['crunchy taco', 'cheesy gordita crunch']","['baja blast', 'gatorade']"
5776,BOGO - Garlic Steak Nacho Fries,Instagram photo ad,True,"['steak garlic nacho fries', 'steak garlic nacho fries', 'nachos bellgrande']","['starry', 'starry', 'baja blast']"
576,DISCOUNT-20%,30 sec Hulu commercial,False,"['crunchy taco', 'chicken quesadilla', 'chalupa supreme', 'steak garlic nacho fries']","['iced tea', 'pepsi', 'iced tea', 'diet pepsi']"
4946,BOGO - Garlic Steak Nacho Fries,30 sec Hulu commercial,True,"['steak garlic nacho fries', 'steak garlic nacho fries']","['starry', 'gatorade']"
9518,REWARD - Free Baja Blast with purchase of $20 or more,30 sec Hulu commercial,False,"['chicken quesadilla', 'crunchwrap supreme', 'soft taco', 'spicy potato soft taco']","['mountain dew', 'mountain dew', 'brisk', 'brisk']"
2248,BOGO - Baja Blast,15 sec YouTube ad,True,"['spicy potato soft taco', 'steak garlic nacho fries', 'spicy potato soft taco']","['baja blast', 'baja blast', 'pepsi']"
621,DISCOUNT-20%,15 sec YouTube ad,True,['soft taco'],['mug root beer']
2762,BOGO - Garlic Steak Nacho Fries,30 sec Hulu commercial,True,"['steak garlic nacho fries', 'steak garlic nacho fries', 'cravings box', 'cravings box', 'cravings box', 'spicy potato soft taco']","['pepsi', 'mountain dew', 'diet pepsi', 'diet pepsi', 'starry', 'diet pepsi']"
2078,DISCOUNT-5%,Instagram photo ad,False,"['cheesy gordita crunch', 'beefy 5 layer burrito', 'soft taco', 'mexican pizza']","['baja blast', 'diet pepsi', 'brisk', 'mug root beer']"
6933,DISCOUNT-5%,15 sec YouTube ad,True,"['crunchy taco', 'cravings box', 'cravings box']","['mug root beer', 'diet pepsi', 'iced tea']"
1382,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,Instagram photo ad,False,"['steak garlic nacho fries', 'mexican pizza', 'crunchy taco', 'crunchwrap supreme']","['diet pepsi', 'mountain dew', 'gatorade', 'pepsi']"
3027,DISCOUNT-5%,30 sec Hulu commercial,False,"['soft taco', 'cravings box', 'cinnamon twists']","['diet pepsi', 'gatorade', 'diet pepsi']"
6977,BOGO - Garlic Steak Nacho Fries,30 sec Hulu commercial,False,"['nachos bellgrande', 'cravings box', 'beefy 5 layer burrito', 'nachos bellgrande']","['baja blast', 'diet pepsi', 'mountain dew', 'gatorade']"
224,REWARD - Free Baja Blast with purchase of $20 or more,30 sec Hulu commercial,False,"['mexican pizza', 'soft taco', 'nachos bellgrande']","['mountain dew', 'brisk', 'gatorade']"
301,DISCOUNT-20%,30 sec Hulu commercial,True,"['cravings box', 'soft taco']","['gatorade', 'gatorade']"
8925,DISCOUNT-10%,15 sec YouTube ad,False,['beefy 5 layer burrito'],['iced tea']
6830,DISCOUNT-20%,Instagram photo ad,False,"['crunchy taco', 'cinnamon twists', 'crunchy taco']","['pepsi', 'iced tea', 'brisk']"
8564,REWARD - Free Baja Blast with purchase of $20 or more,15 sec YouTube ad,False,"['cravings box', 'cheesy bean and rice burrito', 'cinnamon twists', 'cheesy gordita crunch', 'cheesy gordita crunch']","['brisk', 'baja blast', 'starry', 'starry', 'pepsi']"
8737,BOGO - Baja Blast,15 sec YouTube ad,False,"['steak garlic nacho fries', 'cheesy bean and rice burrito', 'chalupa supreme']","['starry', 'brisk', 'gatorade']"
1332,REWARD - Free Baja Blast with purchase of $20 or more,30 sec Hulu commercial,False,['chicken quesadilla'],['brisk']
9214,BOGO - Garlic Steak Nacho Fries,15 sec YouTube ad,False,"['mexican pizza', 'chicken quesadilla']","['gatorade', 'mug root beer']"
394,BOGO - Garlic Steak Nacho Fries,15 sec YouTube ad,True,"['steak garlic nacho fries', 'steak garlic nacho fries', 'beefy 5 layer burrito']","['starry', 'mountain dew', 'iced tea']"
2166,BOGO - Garlic Steak Nacho Fries,Static Facebook ad,True,"['steak garlic nacho fries', 'steak garlic nacho fries', 'steak garlic nacho fries']","['brisk', 'mug root beer', 'mug root beer']"
5097,DISCOUNT-50%,Instagram photo ad,True,"['chicken quesadilla', 'steak garlic nacho fries', 'cravings box']","['pepsi', 'diet pepsi', 'diet pepsi']"
8822,REWARD - Free Baja Blast with purchase of $20 or more,30 sec Hulu commercial,False,"['steak garlic nacho fries', 'spicy potato soft taco', 'steak garlic nacho fries', 'cravings box', 'steak garlic nacho fries', 'crunchy taco']","['starry', 'gatorade', 'iced tea', 'mountain dew', 'starry', 'iced tea']"
5014,DISCOUNT-50%,15 sec YouTube ad,True,"['steak garlic nacho fries', 'soft taco']","['diet pepsi', 'pepsi']"
8707,DISCOUNT-10%,Instagram photo ad,False,"['crunchy taco', 'cheesy bean and rice burrito']","['iced tea', 'iced tea']"
5242,DISCOUNT-10%,15 sec YouTube ad,True,"['cheesy bean and rice burrito', 'cravings box', 'cheesy gordita crunch', 'nachos bellgrande']","['mountain dew', 'pepsi', 'baja blast', 'mug root beer']"
1916,DISCOUNT-10%,Instagram photo ad,True,"['cinnamon twists', 'mexican pizza', 'crunchy taco', 'soft taco', 'chalupa supreme']","['brisk', 'baja blast', 'iced tea', 'diet pepsi', 'gatorade']"
3737,REWARD - Free Baja Blast with purchase of $20 or more,30 sec Hulu commercial,False,"['chicken quesadilla', 'chalupa supreme']","['baja blast', 'mug root beer']"
7663,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,Instagram photo ad,False,"['cinnamon twists', 'chalupa supreme', 'crunchwrap supreme', 'beefy 5 layer burrito']","['diet pepsi', 'diet pepsi', 'mountain dew', 'pepsi']"
5073,DISCOUNT-5%,Instagram photo ad,False,['crunchwrap supreme'],['diet pepsi']
5194,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,Static Facebook ad,False,"['cheesy gordita crunch', 'soft taco']","['starry', 'diet pepsi']"
5631,DISCOUNT-50%,15 sec YouTube ad,True,"['steak garlic nacho fries', 'steak garlic nacho fries', 'steak garlic nacho fries']","['brisk', 'mug root beer', 'diet pepsi']"
4539,BOGO - Garlic Steak Nacho Fries,Instagram photo ad,True,"['steak garlic nacho fries', 'steak garlic nacho fries', 'spicy potato soft taco', 'chicken quesadilla']","['pepsi', 'starry', 'iced tea', 'mountain dew']"
3321,REWARD - Free Baja Blast with purchase of $20 or more,15 sec YouTube ad,False,['mexican pizza'],['iced tea']
3633,REWARD - Free Baja Blast with purchase of $20 or more,Static Facebook ad,False,"['mexican pizza', 'cinnamon twists']","['mountain dew', 'iced tea']"
3904,DISCOUNT-50%,15 sec YouTube ad,False,"['cheesy gordita crunch', 'steak garlic nacho fries', 'crunchwrap supreme']","['mountain dew', 'diet pepsi', 'diet pepsi']"
8405,BOGO - Baja Blast,Instagram photo ad,True,"['spicy potato soft taco', 'mexican pizza', 'chalupa supreme']","['baja blast', 'baja blast', 'diet pepsi']"
5435,DISCOUNT-20%,15 sec YouTube ad,True,"['chicken quesadilla', 'cheesy gordita crunch']","['baja blast', 'pepsi']"
1385,DISCOUNT-10%,15 sec YouTube ad,False,"['crunchwrap supreme', 'spicy potato soft taco']","['baja blast', 'baja blast']"
2188,REWARD - Free Baja Blast with purchase of $20 or more,30 sec cable TV ad,False,"['cravings box', 'cinnamon twists', 'cinnamon twists']","['gatorade', 'pepsi', 'gatorade']"
1093,DISCOUNT-5%,Instagram photo ad,False,"['chicken quesadilla', 'cinnamon twists']","['mountain dew', 'mug root beer']"
84,BOGO - Garlic Steak Nacho Fries,Static Facebook ad,False,"['crunchwrap supreme', 'chalupa supreme', 'cheesy bean and rice burrito']","['mountain dew', 'starry', 'brisk']"
9106,BOGO - Baja Blast,Instagram photo ad,True,"['cheesy bean and rice burrito', 'cheesy gordita crunch']","['baja blast', 'baja blast']"
2442,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,15 sec YouTube ad,True,"['steak garlic nacho fries', 'spicy potato soft taco', 'cravings box', 'crunchwrap supreme', 'mexican pizza', 'beefy 5 layer burrito', 'steak garlic nacho fries', 'cheesy bean and rice burrito', 'steak garlic nacho fries']","['mountain dew', 'brisk', 'mug root beer']"
5519,BOGO - Baja Blast,30 sec Hulu commercial,False,['nachos bellgrande'],['mug root beer']
6811,REWARD - Free Baja Blast with purchase of $20 or more,15 sec YouTube ad,True,"['steak garlic nacho fries', 'cinnamon twists', 'cravings box', 'steak garlic nacho fries', 'chicken quesadilla', 'steak garlic nacho fries', 'steak garlic nacho fries', 'crunchy taco']","['baja blast', 'baja blast', 'gatorade', 'diet pepsi']"
9486,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,Instagram photo ad,False,"['nachos bellgrande', 'nachos bellgrande']","['baja blast', 'mug root beer']"
2683,REWARD - Free Baja Blast with purchase of $20 or more,15 sec YouTube ad,True,"['steak garlic nacho fries', 'chalupa supreme', 'cravings box', 'chalupa supreme', 'beefy 5 layer burrito', 'spicy potato soft taco', 'crunchwrap supreme', 'cheesy bean and rice burrito']","['baja blast', 'iced tea', 'brisk']"
5825,BOGO - Garlic Steak Nacho Fries,15 sec YouTube ad,False,"['beefy 5 layer burrito', 'beefy 5 layer burrito', 'cheesy gordita crunch', 'chicken quesadilla', 'chalupa supreme']","['iced tea', 'mountain dew', 'mountain dew', 'baja blast', 'starry']"
9558,DISCOUNT-50%,Instagram photo ad,True,"['cheesy gordita crunch', 'cheesy bean and rice burrito']","['mountain dew', 'mountain dew']"
7494,DISCOUNT-50%,30 sec cable TV ad,True,"['chalupa supreme', 'chalupa supreme', 'mexican pizza', 'steak garlic nacho fries', 'chalupa supreme']","['brisk', 'mountain dew', 'mug root beer', 'baja blast', 'diet pepsi']"
4361,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,Static Facebook ad,False,"['crunchwrap supreme', 'cheesy bean and rice burrito', 'beefy 5 layer burrito']","['pepsi', 'mountain dew', 'diet pepsi']"
8639,DISCOUNT-10%,30 sec Hulu commercial,True,"['crunchy taco', 'steak garlic nacho fries', 'chicken quesadilla', 'cheesy bean and rice burrito']","['baja blast', 'baja blast', 'mug root beer', 'diet pepsi']"
3972,DISCOUNT-5%,Newspaper ad,True,"['crunchy taco', 'nachos bellgrande', 'chicken quesadilla', 'cravings box', 'cheesy gordita crunch', 'chalupa supreme']","['baja blast', 'iced tea', 'mountain dew', 'diet pepsi', 'mountain dew', 'mug root beer']"
8159,DISCOUNT-50%,30 sec Hulu commercial,True,"['mexican pizza', 'mexican pizza']","['baja blast', 'iced tea']"
3588,DISCOUNT-50%,15 sec YouTube ad,False,"['spicy potato soft taco', 'soft taco', 'beefy 5 layer burrito']","['brisk', 'mug root beer', 'iced tea']"
4210,DISCOUNT-50%,30 sec Hulu commercial,True,"['cheesy gordita crunch', 'soft taco']","['iced tea', 'gatorade']"
1566,BOGO - Baja Blast,30 sec Hulu commercial,True,"['cinnamon twists', 'beefy 5 layer burrito', 'cheesy bean and rice burrito']","['baja blast', 'baja blast', 'diet pepsi']"
2112,REWARD - Free Baja Blast with purchase of $20 or more,Instagram photo ad,False,"['crunchwrap supreme', 'chicken quesadilla', 'mexican pizza']","['brisk', 'gatorade', 'brisk']"
2819,DISCOUNT-20%,Static Facebook ad,False,"['cinnamon twists', 'crunchy taco', 'nachos bellgrande', 'cravings box']","['brisk', 'starry', 'diet pepsi', 'mug root beer']"
331,DISCOUNT-20%,15 sec YouTube ad,True,"['soft taco', 'crunchy taco', 'chalupa supreme', 'beefy 5 layer burrito', 'cheesy gordita crunch']","['baja blast', 'baja blast', 'starry', 'baja blast', 'iced tea']"
2666,BOGO - Baja Blast,15 sec YouTube ad,True,['nachos bellgrande'],"['baja blast', 'baja blast']"
5437,DISCOUNT-10%,30 sec cable TV ad,False,"['crunchwrap supreme', 'chicken quesadilla', 'steak garlic nacho fries', 'steak garlic nacho fries']","['baja blast', 'mug root beer', 'gatorade', 'pepsi']"
1519,DISCOUNT-5%,15 sec YouTube ad,True,"['spicy potato soft taco', 'beefy 5 layer burrito', 'cheesy bean and rice burrito']","['brisk', 'pepsi', 'diet pepsi']"
788,DISCOUNT-5%,Instagram photo ad,False,"['mexican pizza', 'chalupa supreme']","['brisk', 'mug root beer']"
1820,BOGO - Baja Blast,30 sec cable TV ad,True,"['steak garlic nacho fries', 'chalupa supreme', 'soft taco']","['baja blast', 'baja blast', 'baja blast']"
5843,BOGO - Garlic Steak Nacho Fries,30 sec Hulu commercial,False,['nachos bellgrande'],['mug root beer']
3760,REWARD - Free Baja Blast with purchase of $20 or more,15 sec YouTube ad,True,"['cinnamon twists', 'crunchy taco', 'soft taco', 'mexican pizza', 'chicken quesadilla', 'soft taco', 'crunchwrap supreme', 'chicken quesadilla']","['baja blast', 'iced tea', 'mountain dew']"
37,BOGO - Garlic Steak Nacho Fries,15 sec YouTube ad,True,"['steak garlic nacho fries', 'steak garlic nacho fries', 'mexican pizza', 'cinnamon twists']","['mountain dew', 'gatorade', 'gatorade', 'mountain dew']"
1489,BOGO - Baja Blast,15 sec YouTube ad,True,['spicy potato soft taco'],"['baja blast', 'baja blast']"
451,DISCOUNT-5%,30 sec cable TV ad,False,"['chalupa supreme', 'mexican pizza', 'crunchy taco', 'nachos bellgrande', 'chicken quesadilla', 'crunchy taco']","['mountain dew', 'mug root beer', 'starry', 'gatorade', 'pepsi', 'brisk']"
2400,BOGO - Baja Blast,15 sec YouTube ad,False,"['chalupa supreme', 'cravings box', 'cinnamon twists', 'beefy 5 layer burrito']","['pepsi', 'mug root beer', 'baja blast', 'starry']"
3305,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,15 sec YouTube ad,True,"['steak garlic nacho fries', 'steak garlic nacho fries', 'beefy 5 layer burrito', 'nachos bellgrande', 'beefy 5 layer burrito', 'mexican pizza', 'chalupa supreme', 'cheesy gordita crunch', 'soft taco']","['brisk', 'gatorade', 'gatorade', 'mug root beer', 'diet pepsi']"
9986,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,15 sec YouTube ad,False,['crunchwrap supreme'],['iced tea']
8946,DISCOUNT-50%,30 sec Hulu commercial,True,"['chicken quesadilla', 'soft taco']","['baja blast', 'mountain dew']"
8726,DISCOUNT-20%,Instagram photo ad,False,['soft taco'],['gatorade']
647,BOGO - Baja Blast,Instagram photo ad,True,"['steak garlic nacho fries', 'chicken quesadilla', 'cheesy gordita crunch']","['baja blast', 'baja blast', 'pepsi']"
3283,BOGO - Garlic Steak Nacho Fries,15 sec YouTube ad,True,"['steak garlic nacho fries', 'steak garlic nacho fries']","['starry', 'starry']"
2087,DISCOUNT-20%,Static Facebook ad,False,['steak garlic nacho fries'],['iced tea']
6037,BOGO - Garlic Steak Nacho Fries,15 sec YouTube ad,True,"['steak garlic nacho fries', 'steak garlic nacho fries', 'chalupa supreme']","['mug root beer', 'mug root beer', 'iced tea']"
2622,DISCOUNT-10%,15 sec YouTube ad,False,"['cravings box', 'soft taco']","['diet pepsi', 'mug root beer']"
1873,DISCOUNT-5%,30 sec Hulu commercial,False,"['nachos bellgrande', 'spicy potato soft taco', 'mexican pizza', 'cheesy bean and rice burrito', 'cheesy gordita crunch']","['gatorade', 'gatorade', 'gatorade', 'gatorade', 'pepsi']"
4843,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,15 sec YouTube ad,True,"['steak garlic nacho fries', 'cinnamon twists', 'chicken quesadilla', 'crunchwrap supreme', 'chicken quesadilla', 'spicy potato soft taco', 'chalupa supreme', 'steak garlic nacho fries', 'cravings box']",['iced tea']
5197,REWARD - Free Baja Blast with purchase of $20 or more,Instagram photo ad,False,"['crunchwrap supreme', 'beefy 5 layer burrito', 'cinnamon twists']","['diet pepsi', 'iced tea', 'iced tea']"
1681,REWARD - Free Baja Blast with purchase of $20 or more,Static Facebook ad,False,"['soft taco', 'cheesy gordita crunch', 'chalupa supreme']","['gatorade', 'diet pepsi', 'starry']"
4305,DISCOUNT-5%,Instagram photo ad,False,"['chalupa supreme', 'steak garlic nacho fries', 'crunchwrap supreme', 'steak garlic nacho fries']","['diet pepsi', 'iced tea', 'mountain dew', 'baja blast']"
6262,BOGO - Baja Blast,Instagram photo ad,True,"['soft taco', 'cinnamon twists']","['baja blast', 'baja blast']"
6526,DISCOUNT-50%,15 sec YouTube ad,False,"['steak garlic nacho fries', 'soft taco']","['gatorade', 'brisk']"
2680,BOGO - Garlic Steak Nacho Fries,15 sec YouTube ad,True,"['steak garlic nacho fries', 'steak garlic nacho fries', 'chicken quesadilla']","['mountain dew', 'gatorade', 'iced tea']"
1020,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,15 sec TikTok ad,False,['steak garlic nacho fries'],['gatorade']
8373,BOGO - Baja Blast,15 sec YouTube ad,False,"['beefy 5 layer burrito', 'nachos bellgrande', 'crunchy taco']","['gatorade', 'starry', 'diet pepsi']"
2748,BOGO - Garlic Steak Nacho Fries,15 sec YouTube ad,False,"['crunchwrap supreme', 'mexican pizza', 'cheesy bean and rice burrito']","['pepsi', 'mountain dew', 'mountain dew']"
307,BOGO - Baja Blast,15 sec TikTok ad,False,['soft taco'],['diet pepsi']
4577,DISCOUNT-10%,Instagram photo ad,False,"['chicken quesadilla', 'beefy 5 layer burrito']","['gatorade', 'mountain dew']"
5223,DISCOUNT-5%,Instagram photo ad,False,"['chicken quesadilla', 'chalupa supreme']","['baja blast', 'mountain dew']"
7236,BOGO - Baja Blast,Static Facebook ad,True,"['chicken quesadilla', 'mexican pizza']","['baja blast', 'baja blast']"
8267,REWARD - Free Baja Blast with purchase of $20 or more,15 sec TikTok ad,False,['beefy 5 layer burrito'],['brisk']
6870,DISCOUNT-10%,Newspaper ad,False,"['cheesy bean and rice burrito', 'cravings box', 'nachos bellgrande', 'nachos bellgrande']","['gatorade', 'pepsi', 'starry', 'iced tea']"
339,DISCOUNT-50%,15 sec YouTube ad,True,"['crunchwrap supreme', 'spicy potato soft taco', 'crunchwrap supreme', 'cravings box']","['diet pepsi', 'pepsi', 'baja blast', 'brisk']"
6409,BOGO - Baja Blast,15 sec YouTube ad,True,"['chalupa supreme', 'nachos bellgrande', 'steak garlic nacho fries', 'nachos bellgrande', 'nachos bellgrande', 'cinnamon twists']","['baja blast', 'baja blast', 'pepsi', 'pepsi', 'starry', 'starry']"
1807,BOGO - Garlic Steak Nacho Fries,15 sec YouTube ad,True,"['steak garlic nacho fries', 'steak garlic nacho fries', 'cravings box', 'soft taco', 'chicken quesadilla']","['brisk', 'iced tea', 'baja blast', 'gatorade', 'baja blast']"
7760,DISCOUNT-5%,15 sec YouTube ad,False,['steak garlic nacho fries'],['starry']
9660,DISCOUNT-20%,30 sec Hulu commercial,False,"['spicy potato soft taco', 'cheesy bean and rice burrito', 'cinnamon twists', 'chalupa supreme']","['brisk', 'pepsi', 'gatorade', 'pepsi']"
8415,BOGO - Baja Blast,15 sec YouTube ad,True,"['nachos bellgrande', 'mexican pizza', 'crunchwrap supreme']","['baja blast', 'baja blast', 'baja blast']"
8791,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,Instagram photo ad,False,"['crunchwrap supreme', 'cheesy bean and rice burrito', 'crunchy taco', 'cheesy gordita crunch']","['baja blast', 'baja blast', 'baja blast', 'brisk']"
8329,BOGO - Garlic Steak Nacho Fries,Instagram photo ad,True,"['steak garlic nacho fries', 'steak garlic nacho fries', 'cinnamon twists']","['diet pepsi', 'brisk', 'diet pepsi']"
8927,REWARD - Free Baja Blast with purchase of $20 or more,Instagram photo ad,False,"['crunchy taco', 'cravings box', 'nachos bellgrande', 'nachos bellgrande', 'nachos bellgrande', 'chicken quesadilla', 'steak garlic nacho fries']","['brisk', 'brisk', 'pepsi', 'mug root beer', 'starry', 'diet pepsi', 'brisk']"
863,DISCOUNT-50%,15 sec YouTube ad,True,['mexican pizza'],['brisk']
6586,BOGO - Baja Blast,Instagram photo ad,True,"['nachos bellgrande', 'crunchy taco', 'cheesy gordita crunch', 'chicken quesadilla']","['baja blast', 'baja blast', 'iced tea', 'mug root beer']"
8059,DISCOUNT-20%,15 sec YouTube ad,False,"['soft taco', 'soft taco']","['gatorade', 'diet pepsi']"
1894,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,15 sec YouTube ad,True,"['steak garlic nacho fries', 'chalupa supreme', 'spicy potato soft taco', 'cinnamon twists', 'nachos bellgrande', 'steak garlic nacho fries', 'mexican pizza', 'chalupa supreme', 'nachos bellgrande']","['pepsi', 'brisk', 'mountain dew', 'brisk']"
112,DISCOUNT-20%,Instagram photo ad,False,"['cinnamon twists', 'beefy 5 layer burrito']","['mountain dew', 'gatorade']"
6676,DISCOUNT-5%,Instagram photo ad,False,"['spicy potato soft taco', 'chalupa supreme', 'nachos bellgrande', 'soft taco']","['baja blast', 'iced tea', 'mug root beer', 'diet pepsi']"
1948,DISCOUNT-5%,15 sec YouTube ad,True,['soft taco'],['mug root beer']
7540,BOGO - Garlic Steak Nacho Fries,15 sec YouTube ad,True,"['steak garlic nacho fries', 'steak garlic nacho fries']","['baja blast', 'iced tea']"
3831,DISCOUNT-50%,Static Facebook ad,True,"['crunchwrap supreme', 'chicken quesadilla', 'crunchy taco', 'mexican pizza']","['brisk', 'starry', 'brisk', 'iced tea']"
5949,DISCOUNT-20%,15 sec TikTok ad,True,"['cravings box', 'cheesy bean and rice burrito']","['mountain dew', 'mug root beer']"
7058,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,Static Facebook ad,False,"['cheesy gordita crunch', 'beefy 5 layer burrito', 'steak garlic nacho fries']","['iced tea', 'baja blast', 'starry']"
