customer_id,state,sex,age,occupation,family_size,income
5098,NC,F,39.0,Government,2,76307
8520,NC,F,46.0,Government,4,100511
2127,FL,M,68.0,Retired,3,0
9884,NH,F,41.0,Government,3,87464
518,CT,F,32.0,Retail,1,34804
5004,CA,F,28.0,Government,2,65595
2524,GA,M,28.0,Food Service,1,31108
8930,UT,M,51.0,Education,4,81891
8601,CA,M,27.0,Retail,0,32237
4808,MN,M,45.0,Government,5,104645
9059,MI,M,28.0,Food Service,1,32510
2702,MT,F,60.0,Healthcare,6,226512
571,AR,M,25.0,Healthcare,3,67807
5126,NE,F,43.0,Healthcare,0,129573
9111,WY,F,32.0,Education,4,56156
6974,TX,M,32.0,Government,3,74852
5227,LA,M,20.0,Student,0,15520
8604,HI,F,51.0,Government,2,114393
5907,TX,F,24.0,Other,0,42966
5470,NC,M,23.0,Education,0,46257
3835,RI,M,34.0,Government,0,74668
7208,WA,M,40.0,Government,2,88643
1477,VA,M,38.0,Retail,4,39672
8009,ND,M,22.0,Student,1,15542
8064,IN,M,60.0,Government,6,151340
9922,TX,F,23.0,Student,2,15223
469,TX,M,25.0,Food Service,3,29421
2831,WV,F,37.0,Government,1,83866
4850,MD,F,47.0,Retail,2,44691
3847,CA,F,23.0,Student,1,13603
7847,GA,M,41.0,Government,2,92559
9532,NC,F,29.0,Food Service,1,33444
9814,AZ,F,47.0,IT,0,201796
4069,FL,F,63.0,Education,2,92787
3655,TX,M,36.0,Healthcare,3,114661
3714,VA,F,33.0,Retail,2,41199
5156,AL,F,32.0,Healthcare,4,93089
6636,OK,F,54.0,Retail,0,51275
1255,MI,M,46.0,Food Service,1,37765
2846,CA,M,27.0,Food Service,0,30341
4323,WV,M,28.0,Healthcare,0,72116
2687,CA,M,24.0,Government,3,53686
7295,CA,F,25.0,Retail,0,34309
2279,NH,F,36.0,Food Service,0,33058
2945,GA,M,35.0,Retail,2,36710
347,DE,M,37.0,Unemployed,0,0
566,VT,M,43.0,Healthcare,2,125263
9604,MT,M,46.0,Government,2,99876
1005,CA,F,25.0,Other,1,44893
4582,TX,F,28.0,Healthcare,5,78499
5700,NC,F,48.0,Education,2,76869
1895,MO,F,32.0,Retail,1,33513
9058,FL,M,58.0,IT,1,250000
762,CA,F,32.0,Retail,1,36202
1794,KY,F,48.0,Government,1,107620
3427,MI,F,47.0,Retail,1,47598
4286,TX,M,32.0,Healthcare,0,86429
9921,MD,M,43.0,Other,4,64593
7975,GA,M,24.0,Student,0,13570
1129,OK,F,31.0,Education,1,51371
7421,CA,F,23.0,IT,1,81960
5437,MT,M,60.0,Government,3,132917
8743,MD,M,38.0,Unemployed,2,0
4519,MS,M,40.0,Government,3,84552
1552,WA,F,32.0,Government,1,63375
6117,CA,M,27.0,IT,1,91559
1299,CA,F,27.0,Retail,0,37476
6712,MI,M,48.0,Retail,3,44229
6000,OH,F,49.0,Government,2,105113
8036,CA,M,24.0,Healthcare,0,68296
1659,MA,M,35.0,Food Service,2,32979
2494,MN,M,47.0,Retail,1,44236
8633,WA,F,23.0,Retail,2,31425
6919,CA,M,34.0,Retail,3,37710
1308,IN,M,43.0,Other,3,71936
6944,CA,F,27.0,IT,1,84543
4006,CA,F,19.0,Healthcare,0,63968
1439,TX,F,27.0,Government,4,64787
3397,CA,F,28.0,Government,1,57468
9431,MN,F,37.0,Healthcare,0,103334
4394,VA,F,27.0,Retail,0,34761
7036,CT,M,40.0,Government,2,90114
8941,WY,F,47.0,Government,3,112074
3894,CA,F,27.0,IT,1,88290
1214,HI,F,43.0,Government,3,92195
1263,NH,M,28.0,Education,0,53999
7904,SD,M,33.0,Other,2,61403
5602,MI,F,47.0,IT,2,202340
8936,TX,M,26.0,Retail,0,36941
8534,MI,M,41.0,Education,4,67485
7719,CA,F,25.0,Other,0,52015
4682,MO,M,43.0,Retail,3,41674
7523,NY,M,38.0,Government,2,76165
2746,IL,M,39.0,Government,1,83223
1535,CA,M,25.0,Retail,1,31279
3047,PA,M,48.0,Retail,3,44882
1744,MO,F,24.0,Retail,0,34508
9786,FL,M,66.0,Retired,5,0
9941,TX,M,20.0,Education,0,41736
471,WA,F,37.0,Government,1,74483
6409,IL,M,35.0,Unemployed,5,0
1201,IA,F,38.0,Government,2,79338
6424,MD,M,48.0,Healthcare,0,171736
5251,MI,M,21.0,Student,2,15426
3797,NE,M,43.0,Food Service,2,41096
9793,MI,F,22.0,IT,1,69385
7410,TX,M,24.0,Other,1,47781
1370,RI,F,45.0,Healthcare,2,133449
6584,MI,F,18.0,Education,1,43643
6449,AL,F,41.0,Education,3,71817
492,LA,M,46.0,Government,4,101863
4593,SD,F,39.0,Other,3,60916
8193,ND,F,40.0,Retail,3,39699
8876,KS,M,37.0,Government,1,77731
6646,AR,M,34.0,IT,2,114796
9912,NM,F,24.0,Government,1,56966
5605,TN,F,60.0,IT,4,250000
8257,ND,M,27.0,IT,1,100290
9063,MT,F,43.0,Retail,1,41770
6529,OR,F,34.0,Retail,2,38537
1452,NC,M,42.0,IT,1,179194
4471,OH,F,31.0,IT,0,103007
7511,WA,M,39.0,Retail,1,38418
2664,AR,F,45.0,Healthcare,2,145461
9294,TX,M,30.0,Healthcare,2,85191
7378,MT,F,32.0,Government,3,63778
3671,NM,F,51.0,Healthcare,0,161293
3805,WA,F,21.0,Student,0,16373
8021,ND,F,36.0,Other,1,57605
5603,NJ,F,51.0,Government,1,118210
8054,OH,M,43.0,Government,2,97149
4537,LA,F,52.0,Education,2,80657
6478,LA,M,32.0,Healthcare,2,83897
5601,CO,F,36.0,Retail,1,43305
8122,OR,M,50.0,Retail,2,47250
9491,NC,F,37.0,Retail,3,38816
7852,CA,M,23.0,Student,2,13941
9019,CO,M,51.0,Healthcare,2,187292
5887,GA,F,41.0,Government,1,88239
4782,NY,F,37.0,Other,1,58755
8462,CO,M,45.0,Education,3,65821
1427,OH,M,44.0,Government,0,87150
1478,FL,M,65.0,Retired,1,0
9692,NC,M,29.0,Government,3,66238
634,VA,M,68.0,Retired,7,0
4057,TX,M,24.0,Student,1,15769
3485,RI,F,44.0,Education,1,69454
8810,OH,M,48.0,Education,3,76356
1274,WV,F,39.0,Government,1,77723
2815,IL,F,45.0,Retail,2,43026
2251,MT,M,29.0,Government,3,68618
3144,CA,F,26.0,Food Service,3,31579
341,LA,M,33.0,Retail,1,39820
2150,NE,F,45.0,Food Service,2,37603
1975,NE,F,36.0,Healthcare,1,107678
4561,NH,F,37.0,Retail,4,38617
5378,MI,M,40.0,Education,2,58708
4640,KS,M,54.0,Retail,4,50044
7830,NY,M,48.0,Retail,3,45126
8224,CT,M,64.0,Retail,5,55038
7837,CA,M,34.0,Other,0,55665
7551,WI,M,44.0,Retail,3,43654
3524,MO,M,48.0,Food Service,3,41643
4155,SD,F,49.0,Healthcare,1,164779
512,GA,F,44.0,Government,1,103777
6594,NC,F,41.0,Government,2,91128
1331,ME,F,38.0,Retail,2,44402
9417,UT,M,47.0,Other,1,80955
3280,GA,M,32.0,Retail,0,38760
1011,PA,M,39.0,Retail,2,42028
7598,CA,F,27.0,Retail,2,36561
88,MD,M,32.0,Retail,2,36014
9434,ME,M,50.0,Healthcare,1,180208
4910,CA,M,29.0,IT,5,100482
2648,FL,F,65.0,Retired,5,0
6929,CA,M,21.0,Retail,1,31340
3791,OH,M,39.0,Healthcare,0,113545
8997,WA,F,43.0,Government,3,89518
8060,OR,M,39.0,Retail,4,43715
8207,HI,M,46.0,Retail,1,43564
8568,TN,M,46.0,Government,2,103909
6288,RI,M,46.0,Government,6,93540
8696,IL,M,31.0,Healthcare,3,84049
1801,TX,M,29.0,Food Service,3,28367
9377,OH,M,47.0,Retail,2,44026
9595,OK,M,37.0,Education,2,66547
1514,HI,M,49.0,Retail,1,50119
9686,FL,F,61.0,Unemployed,7,0
7390,VT,F,25.0,Government,4,63811
9250,FL,F,54.0,Other,4,82168
85,LA,M,55.0,IT,3,250000
3495,CA,M,24.0,Student,0,16454
4846,PA,F,55.0,Government,1,111870
5250,AR,F,31.0,Government,2,63956
1056,CO,F,48.0,Retail,2,46157
7919,CA,M,24.0,Healthcare,3,64860
6753,FL,M,64.0,Healthcare,7,249102
3846,OH,F,39.0,Food Service,5,34343
2635,MS,M,43.0,Retail,3,40244
7024,FL,F,63.0,Government,4,150173
3641,PA,M,48.0,Retail,2,51189
9067,TX,F,20.0,Student,1,15705
291,MD,F,31.0,Government,1,69759
528,FL,M,65.0,Retired,4,0
2388,MS,M,40.0,IT,0,141869
8483,KY,F,55.0,Unemployed,4,0
1256,FL,M,58.0,Government,1,136745
3435,TX,F,28.0,Food Service,1,28648
8075,NC,M,53.0,Government,3,111682
3898,SD,F,38.0,Healthcare,3,112428
4336,MT,F,40.0,Food Service,3,38623
3982,FL,M,63.0,Government,2,154699
4018,SD,M,48.0,Other,3,80996
8011,AR,F,38.0,Food Service,3,34813
6554,MN,F,34.0,IT,3,114169
7358,CO,F,53.0,Retail,2,53837
6113,IA,M,39.0,Education,2,58774
253,TX,M,31.0,Government,2,67445
7357,CA,F,24.0,IT,3,89133
966,CA,M,29.0,Healthcare,0,81453
1560,TX,F,30.0,Healthcare,0,82152
8824,NC,M,46.0,IT,3,187705
8147,IL,M,46.0,IT,0,176714
9272,TX,F,36.0,Food Service,1,32641
164,MI,M,56.0,Retail,3,50009
3370,OH,M,53.0,Food Service,1,44985
2108,ME,F,44.0,Food Service,5,36799
5350,CA,M,35.0,Education,0,53516
3484,TX,F,33.0,Healthcare,4,86475
4403,IL,F,41.0,Food Service,4,35559
38,NV,F,34.0,Government,1,73722
1553,OK,F,24.0,Student,2,15652
5494,TN,M,33.0,Government,2,66338
2579,AL,F,51.0,Education,5,77326
1115,MI,F,41.0,Retail,2,39707
7341,IN,F,49.0,Government,1,98763
5677,NY,M,32.0,IT,2,113600
1418,GA,M,48.0,Education,1,76560
4715,ID,F,47.0,Government,2,109629
2210,UT,M,52.0,Food Service,3,44987
271,ME,M,48.0,Government,4,109315
3420,TX,F,29.0,Other,5,49090
4291,GA,F,59.0,Government,0,144298
8453,MI,M,50.0,Retail,1,45809
4465,IL,F,39.0,Retail,2,41471
7599,ID,M,32.0,Government,1,70458
783,WA,M,40.0,Food Service,2,37688
2289,CA,F,27.0,Government,1,65861
9829,IN,M,41.0,Healthcare,3,115079
8514,TX,F,37.0,Government,2,73728
5525,TX,F,20.0,Unemployed,0,0
6824,WI,M,49.0,Retail,0,44437
3030,MS,M,42.0,IT,3,156949
4848,CA,M,24.0,Other,1,50594
3068,TX,M,22.0,Student,0,13752
4023,OH,F,30.0,Retail,2,35177
651,AR,F,32.0,Unemployed,1,0
9281,OH,F,45.0,Education,3,68637
6606,CT,M,29.0,Food Service,2,31524
324,NC,F,28.0,Food Service,5,32544
8618,IL,F,43.0,Government,1,99657
1906,WI,M,43.0,Retail,4,42246
7107,MO,M,48.0,Education,1,80866
6917,NC,F,36.0,Retail,0,35859
1486,FL,M,60.0,Healthcare,4,256608
1287,OH,M,41.0,Food Service,2,34677
426,VT,F,52.0,Other,5,82530
7589,IN,F,43.0,Education,3,63505
5128,LA,F,53.0,Healthcare,3,173684
68,TX,M,33.0,Healthcare,2,89860
6040,MI,M,52.0,Government,2,114225
8706,MA,M,50.0,Retail,2,43738
3343,FL,M,60.0,Other,3,95160
791,KY,M,53.0,Retail,2,52321
6491,AZ,F,35.0,Retail,1,39172
1352,MA,M,28.0,Government,1,60827
6444,IL,F,44.0,Government,1,96686
1426,HI,F,40.0,Retail,3,38537
9766,TX,M,26.0,Government,2,56140
8215,TX,M,24.0,Government,0,63132
5046,IL,F,47.0,Retail,3,42126
567,MD,F,29.0,Government,3,66946
4245,TX,M,31.0,Government,3,75106
7121,IN,F,34.0,IT,3,129343
5028,NM,F,32.0,Government,2,74079
5458,HI,F,39.0,Retail,0,43244
4694,GA,F,42.0,Healthcare,0,138689
9266,MD,M,52.0,Food Service,2,39410
1913,OH,F,39.0,Food Service,2,35779
5358,CA,F,30.0,Retail,2,36907
6244,OH,M,25.0,Healthcare,1,73276
4720,UT,M,37.0,Retail,2,42867
4231,RI,F,42.0,Healthcare,5,128296
9691,CA,M,27.0,Retail,0,33521
6639,IL,M,37.0,Government,2,73875
9707,MI,M,48.0,Retail,3,43400
7665,SD,M,48.0,Retail,0,44454
3271,FL,F,67.0,Retired,2,0
3066,CA,M,34.0,Other,1,61014
7079,NY,F,45.0,Government,2,88521
733,MI,M,47.0,Retail,3,42298
3121,NH,M,48.0,Food Service,1,38844
1599,OH,F,52.0,Food Service,3,45667
9519,OH,F,44.0,Retail,5,42856
3816,TX,F,26.0,Education,2,47086
6702,NC,F,25.0,Retail,2,33944
9855,NC,M,39.0,Retail,3,42358
5590,CA,M,20.0,Student,0,14333
3191,ME,F,38.0,Unemployed,1,0
7280,MS,F,21.0,Student,0,13885
325,NC,F,46.0,Government,4,96644
8165,NY,F,42.0,Healthcare,6,141333
5296,TX,F,34.0,Retail,1,36170
7512,VA,F,33.0,Healthcare,6,100458
9386,MI,M,44.0,Retail,3,44482
3290,OH,F,42.0,Government,5,92084
5900,MI,M,48.0,Education,2,67913
5816,KS,M,40.0,Food Service,2,37522
1761,CA,F,26.0,Food Service,0,32221
3956,KY,M,49.0,Education,2,72341
4574,IN,F,45.0,Retail,5,46824
1135,PA,M,43.0,Other,1,62813
6193,AZ,F,37.0,Government,5,76166
9779,NM,M,41.0,Food Service,0,36872
7339,NJ,F,38.0,Government,1,74742
2867,OK,M,48.0,Retail,2,50360
9055,NY,F,49.0,Government,0,116734
4885,KY,M,35.0,Food Service,1,34978
8277,NH,F,33.0,IT,1,112741
491,LA,F,34.0,Government,0,67990
7072,SC,M,51.0,Education,1,79079
4273,TX,F,27.0,Food Service,3,30760
4076,NC,M,43.0,Retail,2,39410
6806,CA,M,30.0,Government,6,67831
7413,MI,M,43.0,Other,5,72204
3277,FL,M,68.0,Retired,4,0
584,OH,M,47.0,Other,2,75907
5676,TX,F,30.0,Government,1,64030
8737,CA,M,30.0,Government,2,72194
2476,TX,F,20.0,Government,1,50969
7500,IL,F,27.0,Education,1,45228
6937,TX,M,33.0,Government,3,75321
5842,TN,M,22.0,Student,1,14755
1149,AL,M,61.0,Government,4,133088
6947,NC,F,38.0,Retail,0,37925
331,AR,M,36.0,Government,4,83484
1647,TX,M,23.0,Student,0,14403
6581,UT,F,44.0,Retail,4,42488
7684,WA,F,39.0,Healthcare,2,118662
8475,PA,M,37.0,Education,2,56552
8125,CA,M,34.0,Food Service,2,31248
3649,OH,F,40.0,Government,2,89549
9995,CA,F,25.0,IT,0,79330
5429,FL,F,56.0,Retail,0,57771
6243,RI,M,43.0,Food Service,5,40111
2596,MS,F,50.0,Retail,0,44310
3775,MT,F,35.0,Government,3,77035
3790,NC,F,38.0,Food Service,0,34168
5201,NV,F,57.0,Food Service,6,51573
6178,PA,F,35.0,Education,1,59776
7756,IA,F,42.0,Retail,3,41548
5944,TX,M,35.0,Retail,0,37789
7382,CA,F,18.0,Student,1,16422
4339,NV,M,32.0,Food Service,2,29709
6436,ID,M,32.0,Education,3,58786
5229,UT,M,28.0,Healthcare,1,72495
4059,DE,M,42.0,Healthcare,1,136948
2808,ME,M,36.0,Retail,0,37952
9183,IL,M,42.0,Retail,2,44056
6746,MI,F,40.0,Government,2,87386
927,IL,M,31.0,Government,0,72871
8531,MO,M,30.0,Government,1,61537
8174,NV,F,29.0,Other,1,47095
9938,NY,F,35.0,Other,1,61279
9575,MS,M,23.0,Student,1,15174
2047,IL,F,49.0,Government,4,97843
3990,TX,F,33.0,Retail,1,35094
2390,CA,M,24.0,Education,1,46880
4195,GA,F,32.0,Retail,0,37330
6716,KS,F,41.0,Healthcare,1,123734
2868,OK,F,33.0,Other,4,55863
107,NH,M,54.0,Retail,1,48146
8779,NY,M,41.0,Food Service,3,34788
1158,CA,F,33.0,Government,0,69038
8424,FL,F,70.0,Retired,1,0
1948,CA,M,24.0,Student,0,14698
4840,AL,M,40.0,Healthcare,3,116910
1369,MT,F,35.0,Government,2,68568
4937,OH,F,28.0,Government,4,61652
303,UT,M,41.0,Healthcare,4,122794
8648,NH,F,31.0,Government,2,63735
8029,CA,M,22.0,Student,1,16047
5390,IL,F,35.0,IT,2,121343
6862,GA,M,40.0,Retail,2,40347
3703,DE,F,47.0,Government,4,98877
3330,CA,F,24.0,Government,1,54885
5616,SC,F,33.0,Government,1,69673
6796,MS,M,41.0,Food Service,2,35202
1542,IN,M,44.0,Retail,4,43352
7170,SC,M,36.0,Retail,1,35801
9522,CA,M,32.0,IT,4,111392
1001,DE,M,31.0,Retail,3,39927
9701,MN,F,27.0,Healthcare,2,81025
1721,KS,F,53.0,Government,4,114019
6031,CA,M,31.0,Other,2,54081
6530,NE,F,55.0,Government,1,123307
6604,ME,M,25.0,Retail,0,30207
8225,MT,M,50.0,Government,4,113725
9320,WV,M,34.0,Healthcare,2,107896
3059,MT,M,50.0,Government,2,106654
3609,OR,F,38.0,Retail,3,37258
1800,TX,M,25.0,Retail,1,35696
7659,VA,F,28.0,Government,1,69261
5464,ME,F,48.0,IT,1,204259
6837,MA,F,30.0,Healthcare,2,93243
8923,IA,M,28.0,Government,2,59283
7348,CA,F,29.0,Healthcare,2,83452
102,NY,M,36.0,Other,1,53797
758,IN,F,41.0,Retail,2,41550
4380,ME,F,40.0,Unemployed,0,0
1463,MI,F,51.0,Retail,0,53395
5983,MT,M,42.0,Education,1,64023
1797,KY,M,19.0,Student,1,15554
32,IL,F,34.0,Other,0,60105
5091,TX,M,22.0,Other,1,42855
3300,IN,F,42.0,Government,1,97022
3723,WV,M,45.0,Retail,2,41130
3064,TX,M,26.0,Food Service,0,31797
2583,MT,F,57.0,Government,0,127726
2780,KY,F,42.0,Retail,1,38961
3541,GA,F,48.0,Retail,1,49088
3220,IN,M,25.0,Government,3,54043
6511,NC,F,47.0,Healthcare,2,161144
8518,NH,F,40.0,IT,0,136934
7283,NC,M,49.0,Other,2,75219
5130,TN,M,40.0,Government,2,93378
9414,IL,F,28.0,Retail,4,32564
8450,IL,F,57.0,Retail,3,51904
8834,NV,F,27.0,Food Service,0,27542
7843,NJ,F,56.0,IT,1,250000
2158,TX,F,19.0,Retail,0,30919
4306,TN,M,37.0,Unemployed,4,0
9839,NE,M,36.0,IT,0,124017
7133,NY,F,35.0,IT,3,135845
6035,TX,M,28.0,Retail,2,35634
7503,ID,F,48.0,Government,1,97076
3169,TX,M,24.0,Retail,1,30885
6140,MA,F,60.0,Food Service,6,52848
3321,IA,F,27.0,Retail,0,31382
5867,TX,M,24.0,Government,0,62497
8077,RI,M,37.0,Retail,3,41716
6503,IL,M,28.0,Government,2,67237
3213,OR,F,40.0,Unemployed,3,0
7944,MT,F,43.0,Retail,1,43928
3658,RI,M,39.0,Healthcare,1,125457
7736,CA,F,23.0,Retail,0,32435
790,CA,M,21.0,Student,0,14346
5682,OK,F,45.0,Retail,4,49334
4241,CT,M,36.0,Food Service,1,31743
2072,FL,M,67.0,Retired,6,0
7775,CA,F,20.0,Student,0,14943
1791,WY,M,46.0,IT,1,186637
3903,IA,F,53.0,IT,3,250000
4616,TN,F,28.0,Unemployed,3,0
3208,CA,F,25.0,Other,1,47382
9169,CA,M,21.0,Retail,1,29127
998,ND,F,46.0,Retail,4,42644
7886,TX,F,29.0,Other,2,53450
9381,SD,M,30.0,Retail,2,35209
799,NC,F,24.0,Student,0,14936
7760,DE,M,37.0,Retail,0,40020
2170,CA,M,27.0,Retail,0,31718
9654,NE,M,49.0,Retail,4,47500
7980,NE,F,57.0,Healthcare,0,220453
5628,GA,F,51.0,Retail,1,45137
5249,OH,M,35.0,IT,2,133194
430,GA,M,28.0,Government,1,61310
3637,UT,M,27.0,Retail,1,33656
3594,TX,M,25.0,Retail,0,32681
726,OH,M,45.0,Other,1,66387
9338,IL,F,36.0,Other,2,56358
6184,RI,F,37.0,Government,1,87284
5165,CO,M,47.0,Retail,3,49620
5125,MO,M,37.0,Healthcare,0,101669
6225,PA,M,32.0,Education,1,51658
9697,SD,M,45.0,Education,3,65815
6384,MI,F,38.0,Government,2,86841
9972,MA,M,29.0,IT,1,100325
3319,OH,M,37.0,Other,1,61978
5226,FL,F,63.0,Other,6,100483
9511,TX,M,36.0,Government,2,84545
6016,CA,M,29.0,Food Service,3,31484
8280,CA,M,25.0,IT,1,85750
6235,NC,M,43.0,Education,1,74586
4733,WA,F,38.0,Government,2,80152
1038,ID,M,36.0,Healthcare,4,95172
6091,MI,M,23.0,Government,0,53532
3623,NY,F,37.0,Food Service,0,32559
1061,SD,M,31.0,Other,1,59142
5462,TX,F,29.0,Unemployed,3,0
8218,TX,M,26.0,Government,1,62619
8107,OR,F,34.0,Education,3,56811
5093,NV,M,41.0,Healthcare,0,117842
3018,RI,F,40.0,Retail,4,40251
6943,NV,M,26.0,Education,2,44403
894,IL,M,41.0,Healthcare,1,131680
3841,MT,M,34.0,Food Service,0,34888
8287,MI,M,38.0,Government,0,84041
6959,UT,M,48.0,Retail,2,44832
3803,MI,F,49.0,Food Service,0,40008
1329,CA,F,18.0,Retail,2,33155
6396,CA,F,20.0,Student,0,15118
4920,TX,M,25.0,Government,1,55248
4029,VA,F,30.0,Retail,3,36384
3049,PA,F,41.0,Healthcare,1,114390
4583,CA,F,23.0,Education,0,45218
3949,NE,F,38.0,Government,2,84568
9555,OH,F,45.0,Government,1,103716
5724,NH,F,35.0,Retail,1,40258
3940,MS,F,41.0,Government,2,89462
8046,CA,F,35.0,Food Service,2,31059
1884,CA,F,30.0,Retail,1,37845
6456,ID,F,40.0,Retail,0,45346
2503,CA,F,24.0,Government,1,58058
4201,IA,F,58.0,Retail,3,55710
2496,GA,F,41.0,Other,2,69678
5142,IA,M,43.0,Unemployed,2,0
7831,TN,F,38.0,Retail,1,43529
8176,CA,M,28.0,Retail,2,34742
103,NY,M,31.0,Healthcare,3,89961
8219,WA,M,29.0,Other,0,49597
33,PA,M,32.0,Government,0,76555
4689,WA,F,32.0,Retail,0,36491
1096,GA,F,48.0,Healthcare,5,144336
709,SC,F,34.0,Government,3,67428
9123,NC,F,39.0,Government,0,76973
9141,CA,M,25.0,Other,0,47632
1610,MI,F,41.0,Government,2,95789
6911,AL,F,36.0,Food Service,3,37262
8712,CA,F,35.0,Other,1,58905
8340,FL,F,66.0,Retired,4,0
5414,NE,M,46.0,Healthcare,4,154062
4068,MI,M,60.0,Government,2,136573
230,CA,M,27.0,Government,3,57753
504,CA,M,24.0,Student,0,14069
8463,TX,M,24.0,Government,3,56737
1604,TN,M,26.0,Government,1,61362
2373,AL,F,41.0,Government,1,92601
5778,UT,F,38.0,Government,2,76561
3119,VT,F,36.0,Government,2,79908
2778,IL,M,46.0,Food Service,2,39722
9671,WI,F,28.0,Food Service,1,33366
4642,CA,M,30.0,Food Service,1,34477
7524,MT,M,42.0,Retail,2,45907
6711,TX,M,36.0,Retail,2,38929
416,OH,M,37.0,Government,4,80101
1160,MI,M,55.0,Government,2,125431
9245,TX,M,31.0,Retail,2,33115
3928,IN,F,51.0,Education,1,86812
2406,CA,F,32.0,Other,1,53198
5527,NE,M,19.0,Student,0,16395
4416,TX,M,31.0,Education,3,51487
4771,VT,F,33.0,Retail,3,40002
371,NY,M,28.0,Healthcare,1,78974
3529,CA,F,32.0,Retail,1,34982
9449,IL,F,40.0,Government,3,86794
3598,IN,M,28.0,Other,4,47148
1615,UT,F,47.0,Food Service,0,44342
3702,AL,M,54.0,Government,2,119168
6585,OK,M,26.0,Unemployed,0,0
